,DBUID,DBPOP,DAUID,DAPOP,CSDUID,CSDNAME,CSDTYPE,CSDPOP,CMAUID,CMAPUID,CMANAME,CMATYPE,CMAPOP,PRUID,PRNAME,PRPOP,lon,lat,in_db_emp,prox_idx_emp,in_db_pharma,prox_idx_pharma,in_db_childcare,prox_idx_childcare,in_db_health,prox_idx_health,in_db_grocery,prox_idx_grocery,in_db_educpri,prox_idx_educpri,in_db_educsec,prox_idx_educsec,in_db_lib,prox_idx_lib,in_db_parks,prox_idx_parks,in_db_transit,prox_idx_transit,transit_na,amenity_dense,suppressed
185971,35200002001,87,35200002,356,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2031,43.8231,0,0.0284,0,0.0153,0,0.0424,0,0.0033,0,,0,0.0757,0,,0,,0,0.0354,0,0.0174,0,0,0
185972,35200002002,193,35200002,356,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2036,43.8225,1,0.0281,0,0.0218,0,0.0401,0,0.0032,0,,0,0.0775,0,,0,,0,0.0468,1,0.0184,0,0,0
185973,35200002003,76,35200002,356,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2049,43.8221,1,0.0306,0,0.0304,0,0.0612,0,0.0036,0,,0,0.1075,0,,0,,0,0.0701,0,0.0281,0,0,0
185974,35200003001,335,35200003,335,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2024,43.8207,1,0.0305,0,0.0169,1,0.1127,0,0.0033,0,,0,0.0773,0,,0,,0,0.0313,1,0.0199,0,0,0
185975,35200004001,306,35200004,384,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2047,43.8202,1,0.0296,0,0.0275,0,0.067,0,0.0034,0,,0,0.0993,0,,0,,0,0.0672,1,0.0207,0,0,0
185976,35200004002,78,35200004,384,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.204,43.8203,1,0.0297,0,0.0297,0,0.0786,0,0.0034,0,,0,0.1026,0,,0,,0,0.0684,0,0.0261,0,0,0
185977,35200005001,199,35200005,408,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2035,43.8188,1,0.0341,0,0.0378,1,0.181,0,0.0056,0,,0,0.141,0,,0,,0,0.0718,0,0.0289,0,0,0
185978,35200005002,209,35200005,408,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2032,43.818,1,0.0337,1,0.0813,0,0.1347,0,0.0055,0,,0,0.1508,0,,0,,0,0.0683,0,0.0281,0,0,0
185979,35200006001,527,35200006,527,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2015,43.818,1,0.0325,0,0.0577,1,0.142,0,0.005,0,,0,0.1262,0,,0,,0,0.0584,1,0.0233,0,0,0
185980,35200007001,503,35200007,653,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2011,43.816,1,0.0324,0,0.0208,0,0.0962,0,0.0054,0,,0,0.1513,0,,0,,0,0.0314,1,0.0199,0,0,0
185981,35200007002,150,35200007,653,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2016,43.8158,1,0.0328,0,0.022,0,0.1005,1,0.0057,0,,0,0.1606,0,0.0339,0,,0,0.0336,1,0.0224,0,0,0
185982,35200009001,293,35200009,293,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.2101,43.8145,1,0.0373,0,0.0069,1,0.2041,0,0.0087,0,,0,0.241,0,0.05,0,0.0597,0,0.0481,1,0.0342,0,0,0
