OGF_ID,CLASS_SUBT,CLASS_SU_1,OFFICIAL_M,MUNID,MAH_CODE,MUNICIPAL_,ASSESSMENT,MUNICIPA_1,MUNICIPA_2,UPPER_TIER,UPPER_TI_1,GEOG_UNIT_,GEOMETRY_U,EFFECTIVE_,SYSTEM_DAT,OBJECTID,SHAPEAREA,SHAPELEN,NUMPOINTS,all_pharmacies,%_chosen
67916157,Lower Tier Municipality,95,TOWNSHIP OF RIDEAU LAKES,7030,56618,Mainland,831,TOWNSHIP OF,RIDEAU LAKES,,UNITED COUNTIES OF LEEDS AND GRENVILLE,2563,2018-06-14,2018-06-14,2019-04-01,25265,0,0,2,1,200%
67916498,Lower Tier Municipality,95,TOWN OF LASALLE,37034,45408,Mainland,3734,TOWN OF,LASALLE,,COUNTY OF ESSEX,2563,1970-01-01,2017-01-09,2019-04-01,25777,0,0,10,7,143%
67916570,Lower Tier Municipality,95,TOWNSHIP OF LUCAN BIDDULPH,39057,59617,Mainland,3958,TOWNSHIP OF,LUCAN BIDDULPH,,COUNTY OF MIDDLESEX,2563,1970-01-01,2017-01-09,2019-04-01,23537,0,0,1,1,100%
67916337,Lower Tier Municipality,95,TOWNSHIP OF MAPLETON,23023,75616,Mainland,2332,TOWNSHIP OF,MAPLETON,,COUNTY OF WELLINGTON,2563,1970-01-01,2017-01-09,2019-04-01,23681,0,0,1,1,100%
67906521,Single Tier Municipality,96,TOWNSHIP OF SOUTH ALGONQUIN,48001,85601,Mainland,4801,TOWNSHIP OF,SOUTH ALGONQUIN,,,2565,1970-01-01,2017-01-09,2019-04-01,17921,0,0,1,1,100%
67916481,Lower Tier Municipality,95,TOWN OF KINGSVILLE,37008,45411,Mainland,3711,TOWN OF,KINGSVILLE,,COUNTY OF ESSEX,2563,1970-01-01,2017-01-09,2019-04-01,18129,0,0,6,6,100%
67916372,Lower Tier Municipality,95,TOWN OF PELHAM,26028,18405,Mainland,2732,TOWN OF,PELHAM,,REGIONAL MUNICIPALITY OF NIAGARA,2563,2012-12-07,2017-01-09,2019-04-01,18209,0,0,3,3,100%
67916325,Lower Tier Municipality,95,TOWN OF GRAND VALLEY,22005,43607,Mainland,2204,TOWN OF,GRAND VALLEY,,COUNTY OF DUFFERIN,2563,1970-01-01,2017-01-09,2019-04-01,19233,0,0,1,1,100%
67916206,Lower Tier Municipality,95,TOWNSHIP OF LOYALIST,11002,57612,Mainland,1104,TOWNSHIP OF,LOYALIST,,COUNTY OF LENNOX AND ADDINGTON,2563,2019-08-09,2019-08-09,2019-08-09,26625,0,0,6,6,100%
67916887,Lower Tier Municipality,95,TOWNSHIP OF LAURENTIAN VALLEY,47063,69632,Mainland,4766,TOWNSHIP OF,LAURENTIAN VALLEY,,COUNTY OF RENFREW,2563,1970-01-01,2017-01-09,2019-04-01,26033,0,0,1,1,100%
67916491,Lower Tier Municipality,95,TOWN OF AMHERSTBURG,37025,45409,Mainland,3729,TOWN OF,AMHERSTBURG,,COUNTY OF ESSEX,2563,1970-01-01,2017-01-09,2019-04-01,26241,0,0,7,7,100%
67906436,Single Tier Municipality,96,CITY OF KINGSTON,10005,46102,Mainland,1011,CITY OF,KINGSTON,,,2565,1970-01-01,2017-01-09,2019-04-01,16321,0,0,61,63,97%
67916304,Lower Tier Municipality,95,TOWNSHIP OF UXBRIDGE,18029,10603,Mainland,1829,TOWNSHIP OF,UXBRIDGE,,REGIONAL MUNICIPALITY OF DURHAM,2563,1970-01-01,2017-01-09,2019-04-01,20753,0,0,6,7,86%
67916474,Lower Tier Municipality,95,MUNICIPALITY OF LEAMINGTON,37003,45413,Mainland,3706,MUNICIPALITY OF,LEAMINGTON,,COUNTY OF ESSEX,2563,1970-01-01,2017-01-09,2019-04-01,18433,0,0,10,12,83%
67916210,Lower Tier Municipality,95,TOWN OF GREATER NAPANEE,11010,57402,Mainland,1121,TOWN OF,GREATER NAPANEE,,COUNTY OF LENNOX AND ADDINGTON,2563,2019-08-09,2019-08-09,2019-08-09,26657,0,0,10,12,83%
67916508,Lower Tier Municipality,95,TOWN OF LAKESHORE,37049,45412,Mainland,3751,TOWN OF,LAKESHORE,,COUNTY OF ESSEX,2563,1970-01-01,2017-01-09,2019-04-01,20385,0,0,7,9,78%
67916486,Lower Tier Municipality,95,TOWN OF ESSEX,37020,45410,Mainland,3754,TOWN OF,ESSEX,,COUNTY OF ESSEX,2563,1970-01-01,2017-01-09,2019-04-01,21073,0,0,5,7,71%
67916295,Lower Tier Municipality,95,TOWN OF AJAX,18005,10401,Mainland,1805,TOWN OF,AJAX,,REGIONAL MUNICIPALITY OF DURHAM,2563,1970-01-01,2017-01-09,2019-04-01,25841,0,0,21,31,68%
67916683,Lower Tier Municipality,95,TOWN OF BRADFORD WEST GWILLIMBURY,43013,70410,Mainland,4312,TOWN OF,BRADFORD WEST GWILLIMBURY,,COUNTY OF SIMCOE,2563,1970-01-01,2017-01-09,2019-04-01,21457,0,0,10,15,67%
67916588,Lower Tier Municipality,95,TOWN OF GODERICH,40028,52403,Mainland,4028,TOWN OF,GODERICH,,COUNTY OF HURON,2563,2020-12-29,2020-12-29,2020-12-29,28865,0,0,4,6,67%
67916563,Lower Tier Municipality,95,MUNICIPALITY OF MIDDLESEX CENTRE,39020,59616,Mainland,3939,MUNICIPALITY OF,MIDDLESEX CENTRE,,COUNTY OF MIDDLESEX,2563,2019-02-11,2019-02-11,2019-04-01,26161,0,0,4,6,67%
67916611,Lower Tier Municipality,95,MUNICIPALITY OF KINCARDINE,41020,41625,Mainland,4108,MUNICIPALITY OF,KINCARDINE,,COUNTY OF BRUCE,2563,1970-01-01,2017-01-09,2019-04-01,20961,0,0,3,5,60%
67916837,Lower Tier Municipality,95,"UNITED TOWNSHIPS OF DYSART, DUDLEY, HARCOURT, GUILFORD, HARBURN, BRUTON, HAVELOCK, EYRE AND CLYDE",46024,49603,Mainland,4624,UNITED TOWNSHIPS OF,"DYSART, DUDLEY, HARCOURT, GUILFORD, HARBURN, BRUTO",,COUNTY OF HALIBURTON,2563,1970-01-01,2017-01-09,2019-04-01,23041,0,0,3,5,60%
67916842,Lower Tier Municipality,95,TOWN OF ARNPRIOR,47002,69401,Mainland,4702,TOWN OF,ARNPRIOR,,COUNTY OF RENFREW,2563,1970-01-01,2017-01-09,2019-04-01,19761,0,0,3,5,60%
67916176,Lower Tier Municipality,95,TOWN OF PERTH,9021,55403,Mainland,921,TOWN OF,PERTH,,COUNTY OF LANARK,2563,1970-01-01,2017-01-09,2019-04-01,18497,0,0,3,5,60%
67916331,Lower Tier Municipality,95,TOWN OF SHELBURNE,22021,43402,Mainland,2221,TOWN OF,SHELBURNE,,COUNTY OF DUFFERIN,2563,1970-01-01,2017-01-09,2019-04-01,17665,0,0,3,5,60%
67906505,Single Tier Municipality,96,CITY OF WINDSOR,37039,45101,Mainland,3739,CITY OF,WINDSOR,,,2565,1970-01-01,2017-01-09,2019-04-01,17537,0,0,62,109,57%
67916503,Lower Tier Municipality,95,TOWN OF TECUMSEH,37043,45414,Mainland,3744,TOWN OF,TECUMSEH,,COUNTY OF ESSEX,2563,1970-01-01,2017-01-09,2019-04-01,15617,0,0,5,9,56%
67916293,Lower Tier Municipality,95,CITY OF PICKERING,18001,10102,Mainland,1801,CITY OF,PICKERING,,REGIONAL MUNICIPALITY OF DURHAM,2563,1970-01-01,2017-01-09,2019-04-01,15649,0,0,14,27,52%
67916308,Lower Tier Municipality,95,CITY OF VAUGHAN,19028,27101,Mainland,1928,CITY OF,VAUGHAN,,REGIONAL MUNICIPALITY OF YORK,2563,1970-01-01,2017-01-09,2019-04-01,17009,0,0,59,117,50%
67916311,Lower Tier Municipality,95,TOWN OF WHITCHURCH-STOUFFVILLE,19044,27406,Mainland,1944,TOWN OF,WHITCHURCH-STOUFFVILLE,,REGIONAL MUNICIPALITY OF YORK,2563,1970-01-01,2017-01-09,2019-04-01,20145,0,0,7,14,50%
67916196,Lower Tier Municipality,95,TOWNSHIP OF SOUTH FRONTENAC,10013,46619,Mainland,1029,TOWNSHIP OF,SOUTH FRONTENAC,,COUNTY OF FRONTENAC,2563,1970-01-01,2017-01-09,2019-04-01,21041,0,0,2,4,50%
67916218,Lower Tier Municipality,95,TOWNSHIP OF ADDINGTON HIGHLANDS,11033,57611,Mainland,1134,TOWNSHIP OF,ADDINGTON HIGHLANDS,,COUNTY OF LENNOX AND ADDINGTON,2563,1970-01-01,2017-01-09,2019-04-01,21217,0,0,1,2,50%
67916427,Lower Tier Municipality,95,TOWNSHIP OF NORWICH,32002,37603,Mainland,3202,TOWNSHIP OF,NORWICH,,COUNTY OF OXFORD,2563,2018-06-14,2018-06-14,2019-04-01,21313,0,0,1,2,50%
67916250,Lower Tier Municipality,95,TOWN OF BANCROFT,12061,51403,Mainland,1262,TOWN OF,BANCROFT,,COUNTY OF HASTINGS,2563,1970-01-01,2017-01-09,2019-04-01,22769,0,0,2,4,50%
67916199,Lower Tier Municipality,95,TOWNSHIP OF CENTRAL FRONTENAC,10025,46616,Mainland,1039,TOWNSHIP OF,CENTRAL FRONTENAC,,COUNTY OF FRONTENAC,2563,1970-01-01,2017-01-09,2019-04-01,23121,0,0,1,2,50%
67916235,Lower Tier Municipality,95,MUNICIPALITY OF TWEED,12027,51623,Mainland,1231,MUNICIPALITY OF,TWEED,,COUNTY OF HASTINGS,2563,1970-01-01,2017-01-09,2019-04-01,23249,0,0,1,2,50%
67916553,Lower Tier Municipality,95,MUNICIPALITY OF SOUTHWEST MIDDLESEX,39003,59620,Mainland,3906,MUNICIPALITY OF,SOUTHWEST MIDDLESEX,,COUNTY OF MIDDLESEX,2563,1970-01-01,2017-01-09,2019-04-01,23297,0,0,1,2,50%
67916450,Lower Tier Municipality,95,TOWN OF AYLMER,34011,44401,Mainland,3411,TOWN OF,AYLMER,,COUNTY OF ELGIN,2563,2017-01-09,2017-01-09,2019-04-01,23649,0,0,3,6,50%
67916152,Lower Tier Municipality,95,TOWNSHIP OF LEEDS AND THE THOUSAND ISLANDS,7019,56621,Mainland,812,TOWNSHIP OF,LEEDS AND THE THOUSAND ISLANDS,,UNITED COUNTIES OF LEEDS AND GRENVILLE,2563,1970-01-01,2017-01-09,2019-04-01,17937,0,0,1,2,50%
67916873,Lower Tier Municipality,95,TOWN OF RENFREW,47048,69404,Mainland,4748,TOWN OF,RENFREW,,COUNTY OF RENFREW,2563,1970-01-01,2017-01-09,2019-04-01,18385,0,0,3,6,50%
67916335,Lower Tier Municipality,95,TOWN OF ERIN,23015,75405,Mainland,2316,TOWN OF,ERIN,,COUNTY OF WELLINGTON,2563,1970-01-01,2017-01-09,2019-04-01,19201,0,0,1,2,50%
67916654,Lower Tier Municipality,95,TOWN OF THE BLUE MOUNTAINS,42041,47405,Mainland,4242,TOWN OF,THE BLUE MOUNTAINS,,COUNTY OF GREY,2563,1970-01-01,2017-01-09,2019-04-01,19713,0,0,1,2,50%
67916303,Lower Tier Municipality,95,TOWNSHIP OF SCUGOG,18020,10602,Mainland,1820,TOWNSHIP OF,SCUGOG,,REGIONAL MUNICIPALITY OF DURHAM,2563,1970-01-01,2017-01-09,2019-04-01,15889,0,0,4,8,50%
67906678,Single Tier Municipality,96,CITY OF TEMISKAMING SHORES,54010,90101,Mainland,5418,CITY OF,TEMISKAMING SHORES,,,2565,1970-01-01,2017-01-09,2019-04-01,16001,0,0,3,6,50%
67916160,Lower Tier Municipality,95,VILLAGE OF WESTPORT,7033,56505,Mainland,842,VILLAGE OF,WESTPORT,,UNITED COUNTIES OF LEEDS AND GRENVILLE,2563,2020-03-31,2020-03-31,2020-03-31,27201,0,0,1,2,50%
67916686,Lower Tier Municipality,95,TOWN OF INNISFIL,43017,70409,Mainland,4316,TOWN OF,INNISFIL,,COUNTY OF SIMCOE,2563,1970-01-01,2017-01-09,2019-04-01,19857,0,0,4,9,44%
67916167,Lower Tier Municipality,95,MUNICIPALITY OF NORTH GRENVILLE,7055,56617,Mainland,719,MUNICIPALITY OF,NORTH GRENVILLE,,UNITED COUNTIES OF LEEDS AND GRENVILLE,2563,1970-01-01,2017-01-09,2019-04-01,15537,0,0,4,9,44%
67906452,Single Tier Municipality,96,CITY OF TORONTO,20002,1106,Mainland,1999,CITY OF,TORONTO,,,2565,1970-01-01,2017-01-09,2019-04-01,20273,0,0,486,1126,43%
67906434,Single Tier Municipality,96,TOWN OF SMITHS FALLS,9004,55301,Mainland,904,TOWN OF,SMITHS FALLS,,,2565,1970-01-01,2017-01-09,2019-04-01,16273,0,0,3,7,43%
67916432,Lower Tier Municipality,95,TOWN OF INGERSOLL,32018,37401,Mainland,3218,TOWN OF,INGERSOLL,,COUNTY OF OXFORD,2563,2020-12-29,2020-12-29,2020-12-29,28833,0,0,3,7,43%
67916382,Lower Tier Municipality,95,TOWN OF NIAGARA-ON-THE-LAKE,26047,18404,Mainland,2627,TOWN OF,NIAGARA-ON-THE-LAKE,,REGIONAL MUNICIPALITY OF NIAGARA,2563,2012-12-07,2017-01-09,2019-04-01,23985,0,0,3,7,43%
67916429,Lower Tier Municipality,95,TOWN OF TILLSONBURG,32004,37402,Mainland,3204,TOWN OF,TILLSONBURG,,COUNTY OF OXFORD,2563,1970-01-01,2017-01-09,2019-04-01,24289,0,0,3,7,43%
67916897,Lower Tier Municipality,95,TOWN OF PETAWAWA,47077,69405,Mainland,4779,TOWN OF,PETAWAWA,,COUNTY OF RENFREW,2563,1970-01-01,2017-01-09,2019-04-01,22929,0,0,2,5,40%
