location_code,name,city,street,X,Y,postal,fsa,type
-74.4995795245.14025196Other/Independent,Lancaster Pharmacy,Lancaster,213 Military Rd,-74.49957952,45.14025196,K0C1N0,K0C,Other/Independent
-74.6013069945.59313403Loblaw,Drugstore Pharmacy #4223,Hawkesbury,1560 Cameron St,-74.60130699,45.59313403,K6A3S5,K6A,Loblaw
-74.6038314945.59378353Walmart,Wal-Mart Pharmacy,Hawkesbury,1550 Cameron Streeet,-74.60383149,45.59378353,K6A3S5,K6A,Walmart
-74.6088143945.59866013Other/Independent,Pharmacie Jean Coutu #484,Hawkesbury,1062 Ghislain St,-74.60881439,45.59866013,K6A3B2,K6A,Other/Independent
-74.6091175945.60973203Other/Independent,St-Denis Hawkesbury Pharmacy,Hawkesbury,214 Main St E,-74.60911759,45.60973203,K6A1A5,K6A,Other/Independent
-74.6116439945.60933803Other/Independent,Pharmacie Jean Coutu #159,Hawkesbury,80 Main St E,-74.61164399,45.60933803,K6A1A3,K6A,Other/Independent
-74.6118366945.59784333Shoppers Drug Mart,Shoppers Drug Mart #1259,Hawkesbury,400 Spence Ave,-74.61183669,45.59784333,K6A2Y3,K6A,Shoppers Drug Mart
-74.6267447745.29989688Other/Independent,Pharmacie Jean Coutu Pharmacy,Alexandria,439 Main St S,-74.62674477,45.29989688,K0C1A0,K0C,Other/Independent
-74.6304277745.30201618Shoppers Drug Mart,Shoppers Drug Mart #1541,Alexandria,320 Main St S,-74.63042777,45.30201618,K0C1A0,K0C,Shoppers Drug Mart
-74.651439645.51928382Other/Independent,Vankleekhill Pharmacy,Vankleek Hill,28 Main St E,-74.6514396,45.51928382,K0B1R0,K0B,Other/Independent
-74.7039985845.02749643Shoppers Drug Mart,Shoppers Drug Mart #1542,Cornwall,1380 2nd St E,-74.70399858,45.02749643,K6H2B8,K6H,Shoppers Drug Mart
-74.7098739845.01602293Other/Independent,Cotton Mill Pharmacy,Cornwall,703 Cotton Mill St,-74.70987398,45.01602293,K6H0E7,K6H,Other/Independent
-74.7170425845.02850983Other/Independent,Fullerton Drugs,Cornwall,820 Mcconnell Ave,-74.71704258,45.02850983,K6H4M4,K6H,Other/Independent
-74.7236490845.03218343Other/Independent,Freshco Pharmacy #7268,Cornwall,525 Ninth St E,-74.72364908,45.03218343,K6H0A3,K6H,Other/Independent
-74.7255479845.01627703Shoppers Drug Mart,Shoppers Drug Mart #605,Cornwall,1 Water St E,-74.72554798,45.01627703,K6H6M2,K6H,Shoppers Drug Mart
