location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
42.0351939-82.9161605Shoppers Drug Mart,Shoppers Drug Mart,Harrow,Ontario,Yes,69 King St E,2023-08-20,42.0351939,-82.9161605,N0R1G0,N0R,Shoppers Drug Mart
42.036324-82.600398Walmart,Wal-Mart Pharmacy,Leamington,Ontario,Yes,288 Erie St S,2024-10-29,42.036324,-82.600398,N8H3C5,N8H,Walmart
42.0374614-82.7268746IDA,Kingsville IDA Pharmacy,Kingsville,Ontario,Yes,271 Main St E,2022-02-07,42.0374614,-82.7268746,N9Y1A7,N9Y,IDA
42.0380544-82.7227949Shoppers Drug Mart,Shoppers Drug Mart,Kingsville,Ontario,Yes,370 Main St E,2023-09-08,42.0380544,-82.7227949,N9Y0C1,N9Y,Shoppers Drug Mart
42.0380845-82.6019932Shoppers Drug Mart,Shoppers Drug Mart,Leamington,Ontario,Yes,269 Erie St S,2023-09-15,42.0380845,-82.6019932,N8H3C4,N8H,Shoppers Drug Mart
42.0393337-82.5986993Other/Independent,Central Drug Mart Pharmachoice,Leamington,Ontario,Yes,250 Erie St S,2021-06-26,42.0393337,-82.5986993,N8H3C2,N8H,Other/Independent
42.039571-82.7262084Loblaw,Zehrs,Kingsville,Ontario,Yes,300 Main St S,2025-02-10,42.039571,-82.7262084,N9Y3S9,N9Y,Loblaw
42.0587347-82.5870427Loblaw,Real Canadian Superstore,Leamington,Ontario,Yes,201 Talbot St E,2022-10-20,42.0587347,-82.5870427,N8H3X5,N8H,Loblaw
42.0967117-83.1092682Walmart,Wal-Mart Pharmacy,Amherstburg,Ontario,Yes,400 Sandwich St S,2024-10-03,42.0967117,-83.1092682,N9V3L4,N9V,Walmart
42.1040081-83.1089507Shoppers Drug Mart,Shoppers Drug Mart,Amherstburg,Ontario,Yes,199 Sandwich St S,2023-05-15,42.1040081,-83.1089507,N9V1Z9,N9V,Shoppers Drug Mart
42.1086649-83.1097491Rexall,Rexall,Amherstburg,Ontario,Yes,71 Sandwich St S,2022-11-08,42.1086649,-83.1097491,N9V1Z5,N9V,Rexall
42.1683978-82.8144494Other/Independent,Brady's Drug Store,Essex,Ontario,Yes,186 Talbot St S,2021-05-29,42.1683978,-82.8144494,N8M1B6,N8M,Other/Independent
42.1739582-82.8194412Shoppers Drug Mart,Shoppers Drug Mart,Essex,Ontario,Yes,5 Talbot St S,2023-07-20,42.1739582,-82.8194412,N8M1A6,N8M,Shoppers Drug Mart
42.2279853-83.1014726Shoppers Drug Mart,Shoppers Drug Mart,LaSalle,Ontario,Yes,2125 Front Rd,2023-09-13,42.2279853,-83.1014726,N9J2C1,N9J,Shoppers Drug Mart
42.2435153-83.0601321Shoppers Drug Mart,Shoppers Drug Mart,LaSalle,Ontario,Yes,6020 Malden Rd,2023-09-14,42.2435153,-83.0601321,N9H1S8,N9H,Shoppers Drug Mart
42.2464876-83.0623683Other/Independent,Rob's Whole Health Pharmacy,LaSalle,Ontario,Yes,1765 Sprucewood Unit 250,2023-04-16,42.2464876,-83.0623683,N9J1X7,N9J,Other/Independent
42.2470949-83.0584544Loblaw,Zehrs,LaSalle,Ontario,Yes,5890 Malden Rd,2025-02-11,42.2470949,-83.0584544,N9H1S4,N9H,Loblaw
42.2473086-83.0613484Rexall,Rexall,LaSalle,Ontario,Yes,5881 Malden Rd,2022-12-30,42.2473086,-83.0613484,N9H1S5,N9H,Rexall
42.2543888-83.0006333Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3950 Dougall Ave Unit 2,2024-06-18,42.2543888,-83.0006333,N9G1X2,N9G,Shoppers Drug Mart
42.2550804-82.9656139Costco,Costco Pharmacy,Windsor,Ontario,Yes,4411 Walker Rd,2021-08-09,42.2550804,-82.9656139,N9A6J3,N9A,Costco
42.2566152-82.9681339Loblaw,Real Canadian Superstore,Windsor,Ontario,Yes,4371 Walker Rd,2022-11-01,42.2566152,-82.9681339,N8W3T6,N8W,Loblaw
42.2591138-82.9949896Rexall,Rexall,Windsor,Ontario,Yes,3840 Howard Ave,2023-04-01,42.2591138,-82.9949896,N9E3N9,N9E,Rexall
42.2665457-83.0277459Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1421 Grand Marais Rd W Unit 100,2024-06-13,42.2665457,-83.0277459,N9E4V1,N9E,Shoppers Drug Mart
42.2712258-83.0114629Walmart,Wal-Mart Pharmacy,Windsor,Ontario,Yes,3120 Dougall Rd,2024-12-25,42.2712258,-83.0114629,N9E1S7,N9E,Walmart
42.2756598-83.0037396Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3100 Howard Ave,2024-06-22,42.2756598,-83.0037396,N8X3Y8,N8X,Shoppers Drug Mart
42.2843646-83.0554765Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1760 Huron Church Rd,2024-06-20,42.2843646,-83.0554765,N9C2L4,N9C,Shoppers Drug Mart
42.2884792-83.0572164Pharmasave,Westside Pharmacy Pharmasave,Windsor,Ontario,Yes,1550 Huron Church Rd,2025-01-27,42.2884792,-83.0572164,N9C3Z3,N9C,Pharmasave
42.2890479-83.0222068Loblaw,Real Canadian Superstore,Windsor,Ontario,Yes,2430 Dougall Ave,2022-11-02,42.2890479,-83.0222068,N8X1T2,N8X,Loblaw
42.2918021-83.0587061Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,2670 Tecumseh Rd W,2024-06-17,42.2918021,-83.0587061,N9B3P9,N9B,Shoppers Drug Mart
42.2923673-83.0125541Other/Independent,Ziter Pharmacy,Windsor,Ontario,Yes,2462 Howard Ave Suite 108,2025-02-24,42.2923673,-83.0125541,N8X3V6,N8X,Other/Independent
