,location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
1,42.036324-82.600398Walmart,Wal-Mart Pharmacy,Leamington,Ontario,Yes,288 Erie St S,2024-10-29,42.036324,-82.600398,N8H3C5,N8H,Walmart
3,42.0380544-82.7227949Shoppers Drug Mart,Shoppers Drug Mart,Kingsville,Ontario,Yes,370 Main St E,2023-09-08,42.0380544,-82.7227949,N9Y0C1,N9Y,Shoppers Drug Mart
4,42.0380845-82.6019932Shoppers Drug Mart,Shoppers Drug Mart,Leamington,Ontario,Yes,269 Erie St S,2023-09-15,42.0380845,-82.6019932,N8H3C4,N8H,Shoppers Drug Mart
6,42.039571-82.7262084Loblaw,Zehrs,Kingsville,Ontario,Yes,300 Main St S,2025-02-10,42.039571,-82.7262084,N9Y3S9,N9Y,Loblaw
15,42.2464876-83.0623683Other/Independent,Rob's Whole Health Pharmacy,LaSalle,Ontario,Yes,1765 Sprucewood Unit 250,2023-04-16,42.2464876,-83.0623683,N9J1X7,N9J,Other/Independent
16,42.2470949-83.0584544Loblaw,Zehrs,LaSalle,Ontario,Yes,5890 Malden Rd,2025-02-11,42.2470949,-83.0584544,N9H1S4,N9H,Loblaw
18,42.2543888-83.0006333Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3950 Dougall Ave Unit 2,2024-06-18,42.2543888,-83.0006333,N9G1X2,N9G,Shoppers Drug Mart
22,42.2665457-83.0277459Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1421 Grand Marais Rd W Unit 100,2024-06-13,42.2665457,-83.0277459,N9E4V1,N9E,Shoppers Drug Mart
23,42.2712258-83.0114629Walmart,Wal-Mart Pharmacy,Windsor,Ontario,Yes,3120 Dougall Rd,2024-12-25,42.2712258,-83.0114629,N9E1S7,N9E,Walmart
25,42.2843646-83.0554765Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1760 Huron Church Rd,2024-06-20,42.2843646,-83.0554765,N9C2L4,N9C,Shoppers Drug Mart
26,42.2884792-83.0572164Pharmasave,Westside Pharmacy Pharmasave,Windsor,Ontario,Yes,1550 Huron Church Rd,2025-01-27,42.2884792,-83.0572164,N9C3Z3,N9C,Pharmasave
27,42.2890479-83.0222068Loblaw,Real Canadian Superstore,Windsor,Ontario,Yes,2430 Dougall Ave,2022-11-02,42.2890479,-83.0222068,N8X1T2,N8X,Loblaw
29,42.2923673-83.0125541Other/Independent,Ziter Pharmacy,Windsor,Ontario,Yes,2462 Howard Ave Suite 108,2025-02-24,42.2923673,-83.0125541,N8X3V6,N8X,Other/Independent
33,42.3042997-83.0273263Other/Independent,Windsor Avenue Pharmacy,Windsor,Ontario,Yes,1329 Windsor Ave,2025-02-04,42.3042997,-83.0273263,N8X3L8,N8X,Other/Independent
35,42.3049209-82.5476026Other/Independent,Healthpoint Pharmacy and Clinic,Stoney Point,Ontario,Yes,7034 Tecumseh Rd,2021-12-31,42.3049209,-82.5476026,N0R1N0,N0R,Other/Independent
36,42.3064882-82.8675957Sobeys,Sobeys Pharmacy Lakeshore,Lakeshore,Ontario,Yes,19 Amy Croft Dr,2024-07-29,42.3064882,-82.8675957,N9K1C7,N9K,Sobeys
37,42.3071046-83.0555311Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1675 Wyandotte St W,2024-06-08,42.3071046,-83.0555311,N9B1H8,N9B,Shoppers Drug Mart
38,42.3077861-82.9634718Other/Independent,Westminster Pharmacy,Windsor,Ontario,Yes,5115 Tecumseh Rd E,2025-01-20,42.3077861,-82.9634718,N8T1C2,N8T,Other/Independent
39,42.3083012-82.9589626Other/Independent,Central Drug Mart,Windsor,Ontario,Yes,5415 Tecumseh Rd E Unit 501,2021-06-25,42.3083012,-82.9589626,N8T1C5,N8T,Other/Independent
40,42.3094775-82.9654459Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,5050 Tecumseh Rd E,2024-06-09,42.3094775,-82.9654459,N8T1C1,N8T,Shoppers Drug Mart
41,42.3115441-82.8684313Shoppers Drug Mart,Shoppers Drug Mart,Tecumseh,Ontario,Yes,500 Manning Rd Unit 1,2024-03-09,42.3115441,-82.8684313,N8N5H3,N8N,Shoppers Drug Mart
42,42.3118054-82.9385598Loblaw,Zehrs,Windsor,Ontario,Yes,7201 Tecumseh Rd E,2025-02-13,42.3118054,-82.9385598,N8T3K4,N8T,Loblaw
47,42.3145461-82.9432657Walmart,Wal-Mart Pharmacy,Windsor,Ontario,Yes,7100 Tecumseth Rd E,2024-12-24,42.3145461,-82.9432657,N8T1E6,N8T,Walmart
52,42.3161722-83.0304733Other/Independent,Neighborhood Drug Store,Windsor,Ontario,Yes,439 Wyandotte St E,2022-06-29,42.3161722,-83.0304733,N9A3H8,N9A,Other/Independent
53,42.3162421-82.982706Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3970 Seminole St,2024-06-11,42.3162421,-82.982706,N8Y4T2,N8Y,Shoppers Drug Mart
57,42.3962226-82.1773966Shoppers Drug Mart,Shoppers Drug Mart,Chatham,Ontario,Yes,420 Queen St,2023-07-08,42.3962226,-82.1773966,N7M2J2,N7M,Shoppers Drug Mart
58,42.4147854-82.1991911Rexall,Rexall,Chatham,Ontario,Yes,401 St Clair St,2022-11-29,42.4147854,-82.1991911,N7L3K3,N7L,Rexall
64,42.7748897-81.1648766Pharmasave,Pharmasave Elgin Mall,St. Thomas,Ontario,Yes,417 Wellington St Unit 109,2022-09-18,42.7748897,-81.1648766,N5R5J5,N5R,Pharmasave
65,42.7756458-81.1751632Other/Independent,First Ave Pharmacy,St Thomas,Ontario,Yes,24 First Ave Unit 4,2021-11-05,42.7756458,-81.1751632,N5R4M5,N5R,Other/Independent
66,42.7787939-81.1968819Shoppers Drug Mart,Shoppers Drug Mart,St. Thomas,Ontario,Yes,410 Talbot St,2024-02-29,42.7787939,-81.1968819,N5P1B9,N5P,Shoppers Drug Mart
67,42.7790377-81.1671523Loblaw,Real Canadian Superstore,St. Thomas,Ontario,Yes,1063 Talbot St Unit 50,2022-10-29,42.7790377,-81.1671523,N5P1G4,N5P,Loblaw
68,42.7790377-81.1671523Walmart,Wal-Mart Pharmacy,St. Thomas,Ontario,Yes,1063 Talbot St Unit 60,2024-12-05,42.7790377,-81.1671523,N5P1G4,N5P,Walmart
71,42.7854236-80.9821054Other/Independent,NoFrills Pharmacy,Aylmer,Ontario,Yes,657 John St,2022-07-19,42.7854236,-80.9821054,N5H3J1,N5H,Other/Independent
72,42.8090362-81.5364685Pharmasave,Pharmasave,Muncey,Ontario,Yes,77 Anishnabeg Dr,2022-09-09,42.8090362,-81.5364685,N0L1Y0,N0L,Pharmasave
73,42.8472358-80.307992Shoppers Drug Mart,Shoppers Drug Mart,Simcoe,Ontario,Yes,470 Norfolk St,2024-02-25,42.8472358,-80.307992,N3Y3P7,N3Y,Shoppers Drug Mart
75,42.855743-80.6912372Other/Independent,Tillsonburg Remedy's Rx,Tillsonburg,Ontario,Yes,400 Simcoe St,2024-09-07,42.855743,-80.6912372,N4G4X1,N4G,Other/Independent
79,42.878194-80.7450938Other/Independent,Tillsonburg Care Pharmacy,Tillsonburg,Ontario,Yes,594 Broadway St Unit 1,2024-09-06,42.878194,-80.7450938,N4G3S8,N4G,Other/Independent
80,42.8826551-81.0888747Other/Independent,Belmont Pharmacy,Belmont,Ontario,Yes,14091 Belmont Rd,2021-05-16,42.8826551,-81.0888747,N0L1B0,N0L,Other/Independent
84,42.9051171-78.9256419Rexall,Rexall,Fort Erie,Ontario,Yes,310 Garrison Rd Unit C,2022-12-04,42.9051171,-78.9256419,L2A1M7,L2A,Rexall
85,42.9052732-78.9619671Other/Independent,Crescent Park Pharmacy,Fort Erie,Ontario,Yes,1264 Garrison Rd Unit 5,2021-08-19,42.9052732,-78.9619671,L2A1P1,L2A,Other/Independent
94,42.945741-81.4311175Other/Independent,Komoka Pharmacy,Komoka,Ontario,Yes,9952 Glendon Dr Unit 3,2022-02-10,42.945741,-81.4311175,N0L1R0,N0L,Other/Independent
95,42.9477909-81.2923131IDA,Dini IDA Pharmacy,London,Ontario,Yes,785 Wonderland Rd S Unit C2,2021-08-27,42.9477909,-81.2923131,N6K1M6,N6K,IDA
97,42.9578-81.2599Loblaw,Drug Store Pharmacy,London,Ontario,Yes,7 Baseline Rd E,2021-09-08,42.9578,-81.2599,N6C5Z8,N6C,Loblaw
101,42.9592678-81.6216919Shoppers Drug Mart,Shoppers Drug Mart,Strathroy,Ontario,Yes,78 Front St E,2024-03-07,42.9592678,-81.6216919,N7G1Y7,N7G,Shoppers Drug Mart
103,42.9668463-81.6313682Loblaw,Loblaw Pharmacy,Strathroy,Ontario,Yes,626 Victoria St,2022-04-10,42.9668463,-81.6313682,N7G3C1,N7G,Loblaw
106,42.9774048-82.3658701Loblaw,Loblaw Pharmacy,Sarnia,Ontario,Yes,600 Murphy Rd,2022-04-06,42.9774048,-82.3658701,N7S2X1,N7S,Loblaw
110,42.9840053-81.2456735Other/Independent,Medpoint Care Pharmacy,London,Ontario,Yes,355 Wellington St Unit 169,2022-05-26,42.9840053,-81.2456735,N6A3N7,N6A,Other/Independent
111,42.9844495-81.2502828Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,431 Richmond St Unit 100,2023-09-22,42.9844495,-81.2502828,N6A6E2,N6A,Shoppers Drug Mart
117,42.9911469-81.1686344Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,142 Clarke Rd,2023-09-20,42.9911469,-81.1686344,N5W5E1,N5W,Shoppers Drug Mart
118,42.9990109-81.3292167Other/Independent,TMC Pharmacy,London,Ontario,Yes,990 Gainsborough Rd,2024-09-09,42.9990109,-81.3292167,N6H5L4,N6H,Other/Independent
119,42.9996199-81.2378412Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,759 Adelaide St N,2023-09-17,42.9996199,-81.2378412,N5Y2L7,N5Y,Shoppers Drug Mart
125,43.003589-81.2277443Other/Independent,Bellwood Pharmacy,London,Ontario,Yes,900 Oxford St E Unit 14B,2021-05-15,43.003589,-81.2277443,N5Y5A1,N5Y,Other/Independent
128,43.0127361-81.2428052Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1118 Adelaide St N,2023-09-29,43.0127361,-81.2428052,N5Y2N5,N5Y,Shoppers Drug Mart
129,43.014907-79.249869Shoppers Drug Mart,Shoppers Drug Mart,Welland,Ontario,Yes,800 Niagara St N Unit H2,2024-06-01,43.014907,-79.249869,L3C5Z4,L3C,Shoppers Drug Mart
130,43.0171463-79.2516344Loblaw,Loblaw Pharmacy,Welland,Ontario,Yes,821 Niagara St N,2022-04-15,43.0171463,-79.2516344,L3C1M4,L3C,Loblaw
133,43.0202323-81.3097654Loblaw,Drugstore Pharmacy,London,Ontario,Yes,599 Fanshawe Park Rd W,2021-09-27,43.0202323,-81.3097654,N6G5B3,N6G,Loblaw
134,43.025599-81.2783801Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1680 Richmond St N Unit L104,2023-09-24,43.025599,-81.2783801,N6G3Y9,N6G,Shoppers Drug Mart
135,43.02789-82.255101Other/Independent,Bright's Grove Family Pharmacy,Brights Grove,Ontario,Yes,2670 New Lakeshore Rd,2021-06-08,43.02789,-82.255101,N0N1C0,N0N,Other/Independent
137,43.0317725-80.8932912Other/Independent,Ingersoll Remedy's Rx,Ingersoll,Ontario,Yes,273 King St W,2022-01-15,43.0317725,-80.8932912,N5C2K9,N5C,Other/Independent
139,43.0380604-80.881612Pharmasave,Ingersoll Pharmasave,Ingersoll,Ontario,Yes,19 King St Unit 1,2022-01-14,43.0380604,-80.881612,N5C1G3,N5C,Pharmasave
141,43.0439591-79.2963616IDA,Boggio Fonthill Pharmacy IDA,Fonthill,Ontario,Yes,155 Hwy 20 W,2021-05-24,43.0439591,-79.2963616,L0S1E0,L0S,IDA
142,43.0455255-79.2826341Shoppers Drug Mart,Shoppers Drug Mart,Fonthill,Ontario,Yes,20 Hwy 20 E,2023-08-01,43.0455255,-79.2826341,L0S1E0,L0S,Shoppers Drug Mart
143,43.0478584-79.2745484Other/Independent,Family Health Pharmacy Pelham,Fonthill,Ontario,Yes,130 Hwy 20 Unit A6,2021-11-01,43.0478584,-79.2745484,L0S1E6,L0S,Other/Independent
145,43.0671835-79.1196087Walmart,Wal-Mart Pharmacy,Niagara Falls,Ontario,Yes,7481 Oakwood Dr,2024-11-16,43.0671835,-79.1196087,L2E6S5,L2E,Walmart
146,43.0779821-81.3851136Other/Independent,Ilderton Medical Pharmacy,Ilderton,Ontario,Yes,13187 Ilderton Rd Unit 1,2022-01-13,43.0779821,-81.3851136,N0M2A0,N0M,Other/Independent
151,43.0969862-82.001092Other/Independent,Forest Pharmacy,Forest,Ontario,Yes,19 King St W,2021-11-17,43.0969862,-82.001092,N0N1J0,N0N,Other/Independent
152,43.0988574-79.5461626Other/Independent,Rx Drug Mart,Smithville,Ontario,Yes,144 Griffin St,2023-04-25,43.0988574,-79.5461626,L0R2A0,L0R,Other/Independent
153,43.099894-79.1242368Shoppers Drug Mart,Shoppers Drug Mart,Niagara Falls,Ontario,Yes,5125 Montrose Rd,2023-11-25,43.099894,-79.1242368,L2H1K7,L2H,Shoppers Drug Mart
154,43.1026318-79.1130428Loblaw,Loblaw Pharmacy,Niagara Falls,Ontario,Yes,6940 Morrison St,2022-03-27,43.1026318,-79.1130428,L2E7K5,L2E,Loblaw
156,43.119109-79.1013079Shoppers Drug Mart,Shoppers Drug Mart,Niagara Falls,Ontario,Yes,3701 Portage Rd Unit 1,2023-11-26,43.119109,-79.1013079,L2J2K8,L2J,Shoppers Drug Mart
