,location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
0,42.0351939-82.9161605Shoppers Drug Mart,Shoppers Drug Mart,Harrow,Ontario,Yes,69 King St E,2023-08-20,42.0351939,-82.9161605,N0R1G0,N0R,Shoppers Drug Mart
1,42.036324-82.600398Walmart,Wal-Mart Pharmacy,Leamington,Ontario,Yes,288 Erie St S,2024-10-29,42.036324,-82.600398,N8H3C5,N8H,Walmart
2,42.0374614-82.7268746IDA,Kingsville IDA Pharmacy,Kingsville,Ontario,Yes,271 Main St E,2022-02-07,42.0374614,-82.7268746,N9Y1A7,N9Y,IDA
3,42.0380544-82.7227949Shoppers Drug Mart,Shoppers Drug Mart,Kingsville,Ontario,Yes,370 Main St E,2023-09-08,42.0380544,-82.7227949,N9Y0C1,N9Y,Shoppers Drug Mart
4,42.0380845-82.6019932Shoppers Drug Mart,Shoppers Drug Mart,Leamington,Ontario,Yes,269 Erie St S,2023-09-15,42.0380845,-82.6019932,N8H3C4,N8H,Shoppers Drug Mart
5,42.0393337-82.5986993Other/Independent,Central Drug Mart Pharmachoice,Leamington,Ontario,Yes,250 Erie St S,2021-06-26,42.0393337,-82.5986993,N8H3C2,N8H,Other/Independent
6,42.039571-82.7262084Loblaw,Zehrs,Kingsville,Ontario,Yes,300 Main St S,2025-02-10,42.039571,-82.7262084,N9Y3S9,N9Y,Loblaw
7,42.0587347-82.5870427Loblaw,Real Canadian Superstore,Leamington,Ontario,Yes,201 Talbot St E,2022-10-20,42.0587347,-82.5870427,N8H3X5,N8H,Loblaw
8,42.0967117-83.1092682Walmart,Wal-Mart Pharmacy,Amherstburg,Ontario,Yes,400 Sandwich St S,2024-10-03,42.0967117,-83.1092682,N9V3L4,N9V,Walmart
9,42.1040081-83.1089507Shoppers Drug Mart,Shoppers Drug Mart,Amherstburg,Ontario,Yes,199 Sandwich St S,2023-05-15,42.1040081,-83.1089507,N9V1Z9,N9V,Shoppers Drug Mart
10,42.1086649-83.1097491Rexall,Rexall,Amherstburg,Ontario,Yes,71 Sandwich St S,2022-11-08,42.1086649,-83.1097491,N9V1Z5,N9V,Rexall
11,42.1683978-82.8144494Other/Independent,Brady's Drug Store,Essex,Ontario,Yes,186 Talbot St S,2021-05-29,42.1683978,-82.8144494,N8M1B6,N8M,Other/Independent
12,42.1739582-82.8194412Shoppers Drug Mart,Shoppers Drug Mart,Essex,Ontario,Yes,5 Talbot St S,2023-07-20,42.1739582,-82.8194412,N8M1A6,N8M,Shoppers Drug Mart
13,42.2279853-83.1014726Shoppers Drug Mart,Shoppers Drug Mart,LaSalle,Ontario,Yes,2125 Front Rd,2023-09-13,42.2279853,-83.1014726,N9J2C1,N9J,Shoppers Drug Mart
14,42.2435153-83.0601321Shoppers Drug Mart,Shoppers Drug Mart,LaSalle,Ontario,Yes,6020 Malden Rd,2023-09-14,42.2435153,-83.0601321,N9H1S8,N9H,Shoppers Drug Mart
15,42.2464876-83.0623683Other/Independent,Rob's Whole Health Pharmacy,LaSalle,Ontario,Yes,1765 Sprucewood Unit 250,2023-04-16,42.2464876,-83.0623683,N9J1X7,N9J,Other/Independent
16,42.2470949-83.0584544Loblaw,Zehrs,LaSalle,Ontario,Yes,5890 Malden Rd,2025-02-11,42.2470949,-83.0584544,N9H1S4,N9H,Loblaw
17,42.2473086-83.0613484Rexall,Rexall,LaSalle,Ontario,Yes,5881 Malden Rd,2022-12-30,42.2473086,-83.0613484,N9H1S5,N9H,Rexall
18,42.2543888-83.0006333Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3950 Dougall Ave Unit 2,2024-06-18,42.2543888,-83.0006333,N9G1X2,N9G,Shoppers Drug Mart
19,42.2550804-82.9656139Costco,Costco Pharmacy,Windsor,Ontario,Yes,4411 Walker Rd,2021-08-09,42.2550804,-82.9656139,N9A6J3,N9A,Costco
20,42.2566152-82.9681339Loblaw,Real Canadian Superstore,Windsor,Ontario,Yes,4371 Walker Rd,2022-11-01,42.2566152,-82.9681339,N8W3T6,N8W,Loblaw
21,42.2591138-82.9949896Rexall,Rexall,Windsor,Ontario,Yes,3840 Howard Ave,2023-04-01,42.2591138,-82.9949896,N9E3N9,N9E,Rexall
22,42.2665457-83.0277459Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1421 Grand Marais Rd W Unit 100,2024-06-13,42.2665457,-83.0277459,N9E4V1,N9E,Shoppers Drug Mart
23,42.2712258-83.0114629Walmart,Wal-Mart Pharmacy,Windsor,Ontario,Yes,3120 Dougall Rd,2024-12-25,42.2712258,-83.0114629,N9E1S7,N9E,Walmart
24,42.2756598-83.0037396Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3100 Howard Ave,2024-06-22,42.2756598,-83.0037396,N8X3Y8,N8X,Shoppers Drug Mart
25,42.2843646-83.0554765Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1760 Huron Church Rd,2024-06-20,42.2843646,-83.0554765,N9C2L4,N9C,Shoppers Drug Mart
26,42.2884792-83.0572164Pharmasave,Westside Pharmacy Pharmasave,Windsor,Ontario,Yes,1550 Huron Church Rd,2025-01-27,42.2884792,-83.0572164,N9C3Z3,N9C,Pharmasave
27,42.2890479-83.0222068Loblaw,Real Canadian Superstore,Windsor,Ontario,Yes,2430 Dougall Ave,2022-11-02,42.2890479,-83.0222068,N8X1T2,N8X,Loblaw
28,42.2918021-83.0587061Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,2670 Tecumseh Rd W,2024-06-17,42.2918021,-83.0587061,N9B3P9,N9B,Shoppers Drug Mart
29,42.2923673-83.0125541Other/Independent,Ziter Pharmacy,Windsor,Ontario,Yes,2462 Howard Ave Suite 108,2025-02-24,42.2923673,-83.0125541,N8X3V6,N8X,Other/Independent
30,42.2924181-82.6990493Shoppers Drug Mart,Shoppers Drug Mart,Belle River,Ontario,Yes,330 Notre Dame St,2023-05-27,42.2924181,-82.6990493,N0R1A0,N0R,Shoppers Drug Mart
31,42.2936952-82.7088738Other/Independent,Bradys Drug Store Belle River,Belle River,Ontario,Yes,190 Chisholm St,2021-05-30,42.2936952,-82.7088738,N0R1A0,N0R,Other/Independent
32,42.2987116-83.0160796Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,500 Tecumseh Rd E,2024-06-07,42.2987116,-83.0160796,N8X2S2,N8X,Shoppers Drug Mart
33,42.3042997-83.0273263Other/Independent,Windsor Avenue Pharmacy,Windsor,Ontario,Yes,1329 Windsor Ave,2025-02-04,42.3042997,-83.0273263,N8X3L8,N8X,Other/Independent
34,42.3048973-83.0314803Rexall,Rexall,Windsor,Ontario,Yes,1215 Ouellette Ave,2023-04-02,42.3048973,-83.0314803,N8X1J3,N8X,Rexall
35,42.3049209-82.5476026Other/Independent,Healthpoint Pharmacy and Clinic,Stoney Point,Ontario,Yes,7034 Tecumseh Rd,2021-12-31,42.3049209,-82.5476026,N0R1N0,N0R,Other/Independent
36,42.3064882-82.8675957Sobeys,Sobeys Pharmacy Lakeshore,Lakeshore,Ontario,Yes,19 Amy Croft Dr,2024-07-29,42.3064882,-82.8675957,N9K1C7,N9K,Sobeys
37,42.3071046-83.0555311Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1675 Wyandotte St W,2024-06-08,42.3071046,-83.0555311,N9B1H8,N9B,Shoppers Drug Mart
38,42.3077861-82.9634718Other/Independent,Westminster Pharmacy,Windsor,Ontario,Yes,5115 Tecumseh Rd E,2025-01-20,42.3077861,-82.9634718,N8T1C2,N8T,Other/Independent
39,42.3083012-82.9589626Other/Independent,Central Drug Mart,Windsor,Ontario,Yes,5415 Tecumseh Rd E Unit 501,2021-06-25,42.3083012,-82.9589626,N8T1C5,N8T,Other/Independent
40,42.3094775-82.9654459Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,5050 Tecumseh Rd E,2024-06-09,42.3094775,-82.9654459,N8T1C1,N8T,Shoppers Drug Mart
41,42.3115441-82.8684313Shoppers Drug Mart,Shoppers Drug Mart,Tecumseh,Ontario,Yes,500 Manning Rd Unit 1,2024-03-09,42.3115441,-82.8684313,N8N5H3,N8N,Shoppers Drug Mart
42,42.3118054-82.9385598Loblaw,Zehrs,Windsor,Ontario,Yes,7201 Tecumseh Rd E,2025-02-13,42.3118054,-82.9385598,N8T3K4,N8T,Loblaw
43,42.3127014-83.003068Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,2109 Ottawa St,2024-06-10,42.3127014,-83.003068,N8Y1R8,N8Y,Shoppers Drug Mart
44,42.313369-82.9005054Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,11500 Tecumseh Rd E,2024-06-15,42.313369,-82.9005054,N8N1L7,N8N,Shoppers Drug Mart
45,42.3138143-83.0024803Other/Independent,Novacare Pharmacy,Windsor,Ontario,Yes,1275 Walker Rd,2022-07-30,42.3138143,-83.0024803,N8Y4X9,N8Y,Other/Independent
46,42.3140327-83.0362215Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,600 Ouellette Ave,2024-06-19,42.3140327,-83.0362215,N9A6Z3,N9A,Shoppers Drug Mart
47,42.3145461-82.9432657Walmart,Wal-Mart Pharmacy,Windsor,Ontario,Yes,7100 Tecumseth Rd E,2024-12-24,42.3145461,-82.9432657,N8T1E6,N8T,Walmart
48,42.314682-83.0016408Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,1270 Walker Rd,2024-06-12,42.314682,-83.0016408,N8Y4T4,N8Y,Shoppers Drug Mart
49,42.3146959-82.8665862Loblaw,Zehrs,St. Clair Beach,Ontario,Yes,400 Manning Rd,2025-02-12,42.3146959,-82.8665862,N8N4Z4,N8N,Loblaw
50,42.3149785-82.9349425Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,7720 Tecumseh Rd E,2024-06-21,42.3149785,-82.9349425,N8T1E9,N8T,Shoppers Drug Mart
51,42.3152062-83.016814Other/Independent,Medica Pharmacy,Windsor,Ontario,Yes,1210 Erie St E,2022-05-21,42.3152062,-83.016814,N9A3Z5,N9A,Other/Independent
52,42.3161722-83.0304733Other/Independent,Neighborhood Drug Store,Windsor,Ontario,Yes,439 Wyandotte St E,2022-06-29,42.3161722,-83.0304733,N9A3H8,N9A,Other/Independent
53,42.3162421-82.982706Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,3970 Seminole St,2024-06-11,42.3162421,-82.982706,N8Y4T2,N8Y,Shoppers Drug Mart
54,42.3162631-83.0394787Other/Independent,Downtown Windsor Pharmacy,Windsor,Ontario,Yes,100 Park St W,2021-09-01,42.3162631,-83.0394787,N9A7A5,N9A,Other/Independent
55,42.3262919-82.9786328Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,4835 Wyandotte St E,2024-06-14,42.3262919,-82.9786328,N8Y1H9,N8Y,Shoppers Drug Mart
56,42.3339249-82.943351Shoppers Drug Mart,Shoppers Drug Mart,Windsor,Ontario,Yes,7980 Menard St,2024-06-16,42.3339249,-82.943351,N8S1V9,N8S,Shoppers Drug Mart
57,42.3962226-82.1773966Shoppers Drug Mart,Shoppers Drug Mart,Chatham,Ontario,Yes,420 Queen St,2023-07-08,42.3962226,-82.1773966,N7M2J2,N7M,Shoppers Drug Mart
58,42.4147854-82.1991911Rexall,Rexall,Chatham,Ontario,Yes,401 St Clair St,2022-11-29,42.4147854,-82.1991911,N7L3K3,N7L,Rexall
59,42.5901544-82.1797332Other/Independent,Mactavish Pharmacy,Dresden,Ontario,Yes,480 St George St,2022-05-08,42.5901544,-82.1797332,N0P1M0,N0P,Other/Independent
60,42.6040658-81.6068249Other/Independent,West Elgin Pharmacy,West Lorne,Ontario,Yes,229 Graham St,2025-01-16,42.6040658,-81.6068249,N0L2P0,N0L,Other/Independent
61,42.7627982-81.1760418Other/Independent,Health Centre Pharmacy,St. Thomas,Ontario,Yes,230 First Ave,2021-12-26,42.7627982,-81.1760418,N5R4P5,N5R,Other/Independent
62,42.7635021-81.1753527Shoppers Drug Mart,Shoppers Drug Mart,St. Thomas,Ontario,Yes,204 First Ave,2024-03-01,42.7635021,-81.1753527,N5R4P5,N5R,Shoppers Drug Mart
63,42.7731066-80.9945019Other/Independent,Hills Clinic Pharmacy,Aylmer,Ontario,Yes,420 Talbot St W,2022-01-07,42.7731066,-80.9945019,N5H1K9,N5H,Other/Independent
64,42.7748897-81.1648766Pharmasave,Pharmasave Elgin Mall,St. Thomas,Ontario,Yes,417 Wellington St Unit 109,2022-09-18,42.7748897,-81.1648766,N5R5J5,N5R,Pharmasave
65,42.7756458-81.1751632Other/Independent,First Ave Pharmacy,St Thomas,Ontario,Yes,24 First Ave Unit 4,2021-11-05,42.7756458,-81.1751632,N5R4M5,N5R,Other/Independent
66,42.7787939-81.1968819Shoppers Drug Mart,Shoppers Drug Mart,St. Thomas,Ontario,Yes,410 Talbot St,2024-02-29,42.7787939,-81.1968819,N5P1B9,N5P,Shoppers Drug Mart
67,42.7790377-81.1671523Loblaw,Real Canadian Superstore,St. Thomas,Ontario,Yes,1063 Talbot St Unit 50,2022-10-29,42.7790377,-81.1671523,N5P1G4,N5P,Loblaw
68,42.7790377-81.1671523Walmart,Wal-Mart Pharmacy,St. Thomas,Ontario,Yes,1063 Talbot St Unit 60,2024-12-05,42.7790377,-81.1671523,N5P1G4,N5P,Walmart
69,42.7790711-81.1936727Other/Independent,Yurek Pharmacy Ltd.,St. Thomas,Ontario,Yes,519 Talbot St,2025-02-09,42.7790711,-81.1936727,N5P1C3,N5P,Other/Independent
70,42.7852066-81.1760418Shoppers Drug Mart,Shoppers Drug Mart,St. Thomas,Ontario,Yes,107 Edward St,2024-03-02,42.7852066,-81.1760418,N5P1Y8,N5P,Shoppers Drug Mart
71,42.7854236-80.9821054Other/Independent,NoFrills Pharmacy,Aylmer,Ontario,Yes,657 John St,2022-07-19,42.7854236,-80.9821054,N5H3J1,N5H,Other/Independent
72,42.8090362-81.5364685Pharmasave,Pharmasave,Muncey,Ontario,Yes,77 Anishnabeg Dr,2022-09-09,42.8090362,-81.5364685,N0L1Y0,N0L,Pharmasave
73,42.8472358-80.307992Shoppers Drug Mart,Shoppers Drug Mart,Simcoe,Ontario,Yes,470 Norfolk St,2024-02-25,42.8472358,-80.307992,N3Y3P7,N3Y,Shoppers Drug Mart
74,42.8489584-80.2857024Walmart,Wal-Mart Pharmacy,Simcoe,Ontario,Yes,160 Queensway E,2024-12-02,42.8489584,-80.2857024,N3Y0A8,N3Y,Walmart
75,42.855743-80.6912372Other/Independent,Tillsonburg Remedy's Rx,Tillsonburg,Ontario,Yes,400 Simcoe St,2024-09-07,42.855743,-80.6912372,N4G4X1,N4G,Other/Independent
76,42.8610907-80.7289126Other/Independent,Coward Pharmacy,Tillsonburg,Ontario,Yes,165 Broadway,2021-08-16,42.8610907,-80.7289126,N4G3P9,N4G,Other/Independent
77,42.8615007-80.7279676Walmart,Wal-Mart Pharmacy,Tillsonburg,Ontario,Yes,170 Broadway,2024-12-12,42.8615007,-80.7279676,N4G5A8,N4G,Walmart
78,42.8620568-80.7280248Shoppers Drug Mart,Shoppers Drug Mart,Tillsonburg,Ontario,Yes,200 Broadway,2024-03-16,42.8620568,-80.7280248,N4G5A7,N4G,Shoppers Drug Mart
79,42.878194-80.7450938Other/Independent,Tillsonburg Care Pharmacy,Tillsonburg,Ontario,Yes,594 Broadway St Unit 1,2024-09-06,42.878194,-80.7450938,N4G3S8,N4G,Other/Independent
80,42.8826551-81.0888747Other/Independent,Belmont Pharmacy,Belmont,Ontario,Yes,14091 Belmont Rd,2021-05-16,42.8826551,-81.0888747,N0L1B0,N0L,Other/Independent
81,42.8831805-79.0522665IDA,Boggio & Edwards Ridgeway IDA,Ridgeway,Ontario,Yes,307 Ridge Rd N,2021-05-22,42.8831805,-79.0522665,L0S1N0,L0S,IDA
82,42.885297-79.2529779Other/Independent,Boggio Pharmacy Ltd,Port Colborne,Ontario,Yes,200 Catharine St,2021-05-25,42.885297,-79.2529779,L3K4K8,L3K,Other/Independent
83,42.9034578-79.6174205Other/Independent,Hausers Pharmacy,Dunnville,Ontario,Yes,140 Broad St E,2021-12-21,42.9034578,-79.6174205,N1A1E9,N1A,Other/Independent
84,42.9051171-78.9256419Rexall,Rexall,Fort Erie,Ontario,Yes,310 Garrison Rd Unit C,2022-12-04,42.9051171,-78.9256419,L2A1M7,L2A,Rexall
85,42.9052732-78.9619671Other/Independent,Crescent Park Pharmacy,Fort Erie,Ontario,Yes,1264 Garrison Rd Unit 5,2021-08-19,42.9052732,-78.9619671,L2A1P1,L2A,Other/Independent
86,42.9074762-81.4205796Other/Independent,Delaware Pharmacy,Delaware,Ontario,Yes,11569 Longwoods Rd,2021-08-25,42.9074762,-81.4205796,N0L1E0,N0L,Other/Independent
87,42.9193074-81.2121683Costco,Costco Pharmacy,London,Ontario,Yes,4313 Wellington Rd S,2021-07-22,42.9193074,-81.2121683,N6E2Z8,N6E,Costco
88,42.9315865-81.2246887Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1105 Wellington Rd,2023-09-21,42.9315865,-81.2246887,N6E1V4,N6E,Shoppers Drug Mart
89,42.9315865-81.2246887Walmart,Wal-Mart Pharmacy,London,Ontario,Yes,1105 Wellington Rd S,2024-10-30,42.9315865,-81.2246887,N6E1V4,N6E,Walmart
90,42.9343125-81.3164749Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,3090 Colonel Talbot Rd,2023-10-01,42.9343125,-81.3164749,N6P0B3,N6P,Shoppers Drug Mart
91,42.9382398-81.2781525Loblaw,Loblaw Pharmacy,London,Ontario,Yes,3040 Wonderland Rd S,2022-03-17,42.9382398,-81.2781525,N6L1A6,N6L,Loblaw
92,42.9420215-81.2372115Rexall,Rexall,London,Ontario,Yes,1795 Ernest Ave,2023-01-01,42.9420215,-81.2372115,N6E2V5,N6E,Rexall
93,42.9423592-81.2293366Loblaw,Loblaw Pharmacy,London,Ontario,Yes,635 Sdale Rd E,2022-03-18,42.9423592,-81.2293366,N6E3W6,N6E,Loblaw
94,42.945741-81.4311175Other/Independent,Komoka Pharmacy,Komoka,Ontario,Yes,9952 Glendon Dr Unit 3,2022-02-10,42.945741,-81.4311175,N0L1R0,N0L,Other/Independent
95,42.9477909-81.2923131IDA,Dini IDA Pharmacy,London,Ontario,Yes,785 Wonderland Rd S Unit C2,2021-08-27,42.9477909,-81.2923131,N6K1M6,N6K,IDA
96,42.9490133-81.6064712Walmart,Wal-Mart Pharmacy,Strathroy,Ontario,Yes,150 Carroll St E,2024-12-08,42.9490133,-81.6064712,N7G3H3,N7G,Walmart
97,42.9578-81.2599Loblaw,Drug Store Pharmacy,London,Ontario,Yes,7 Baseline Rd E,2021-09-08,42.9578,-81.2599,N6C5Z8,N6C,Loblaw
98,42.9579407-81.3314324Rexall,Rexall,London,Ontario,Yes,1240 Commissioners Rd W,2023-01-05,42.9579407,-81.3314324,N6K1C7,N6K,Rexall
99,42.9581982-81.6254925Other/Independent,Bossons Pharmacy,Strathroy,Ontario,Yes,35 Front St W,2021-05-27,42.9581982,-81.6254925,N7G1X5,N7G,Other/Independent
100,42.9585692-81.330272Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1224 Commissioners Rd W,2023-09-28,42.9585692,-81.330272,N6K1C7,N6K,Shoppers Drug Mart
101,42.9592678-81.6216919Shoppers Drug Mart,Shoppers Drug Mart,Strathroy,Ontario,Yes,78 Front St E,2024-03-07,42.9592678,-81.6216919,N7G1Y7,N7G,Shoppers Drug Mart
102,42.9600069-81.2623128Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,467 Wharncliffe Rd S,2023-09-19,42.9600069,-81.2623128,N6J2M8,N6J,Shoppers Drug Mart
103,42.9668463-81.6313682Loblaw,Loblaw Pharmacy,Strathroy,Ontario,Yes,626 Victoria St,2022-04-10,42.9668463,-81.6313682,N7G3C1,N7G,Loblaw
104,42.9748873-81.3221488Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,1186 Oxford St W,2023-09-23,42.9748873,-81.3221488,N6H2N2,N6H,Shoppers Drug Mart
105,42.9770895-81.3218479Rexall,Rexall,London,Ontario,Yes,740 Hyde Park Rd,2023-01-04,42.9770895,-81.3218479,N6H5W9,N6H,Rexall
106,42.9774048-82.3658701Loblaw,Loblaw Pharmacy,Sarnia,Ontario,Yes,600 Murphy Rd,2022-04-06,42.9774048,-82.3658701,N7S2X1,N7S,Loblaw
107,42.9802153-81.0555419Shoppers Drug Mart,Shoppers Drug Mart,Dorchester,Ontario,Yes,2300 Dorchester Rd,2023-07-13,42.9802153,-81.0555419,N0L1G3,N0L,Shoppers Drug Mart
108,42.980769-81.2162859Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,510 Hamilton Rd,2023-09-26,42.980769,-81.2162859,N5Z1S4,N5Z,Shoppers Drug Mart
109,42.9829858-79.2517225Rexall,Rexall,Welland,Ontario,Yes,399 King St,2023-03-28,42.9829858,-79.2517225,L3B3K4,L3B,Rexall
110,42.9840053-81.2456735Other/Independent,Medpoint Care Pharmacy,London,Ontario,Yes,355 Wellington St Unit 169,2022-05-26,42.9840053,-81.2456735,N6A3N7,N6A,Other/Independent
111,42.9844495-81.2502828Shoppers Drug Mart,Shoppers Drug Mart,London,Ontario,Yes,431 Richmond St Unit 100,2023-09-22,42.9844495,-81.2502828,N6A6E2,N6A,Shoppers Drug Mart
