CFSAUID,PRNAME,all_pharmacies,covid_vaccine_pharmacies
K1S,Ontario,6,0
K1T,Ontario,7,0
K1V,Ontario,24,3
K1R,Ontario,9,0
M9R,Ontario,5,2
M9V,Ontario,26,2
M9W,Ontario,16,3
N0A,Ontario,10,0
N0B,Ontario,16,1
N0C,Ontario,4,1
N0E,Ontario,6,0
N0G,Ontario,32,0
N0H,Ontario,18,2
N0J,Ontario,7,0
N0K,Ontario,8,0
N0L,Ontario,16,0
N0M,Ontario,30,2
N0N,Ontario,15,2
N0P,Ontario,14,1
N0R,Ontario,12,6
N1A,Ontario,5,1
N1C,Ontario,1,0
N1E,Ontario,10,0
K0A,Ontario,32,2
K0B,Ontario,7,0
K0C,Ontario,20,1
K0E,Ontario,10,0
K0G,Ontario,17,0
K0H,Ontario,11,5
K0J,Ontario,14,0
K0K,Ontario,35,1
K0L,Ontario,23,2
K0M,Ontario,25,0
K1B,Ontario,5,0
K1C,Ontario,12,2
K1E,Ontario,5,0
K1G,Ontario,16,0
K1H,Ontario,13,1
K1J,Ontario,13,2
K1K,Ontario,14,0
K1L,Ontario,10,0
K1M,Ontario,1,0
K1N,Ontario,13,1
K1P,Ontario,2,0
L9R,Ontario,10,1
L9S,Ontario,7,2
L9T,Ontario,31,4
L9V,Ontario,5,1
L9W,Ontario,18,2
L9Y,Ontario,14,1
L8V,Ontario,16,1
L8W,Ontario,10,1
M1P,Ontario,29,5
M1R,Ontario,19,4
K2K,Ontario,6,0
M2N,Ontario,22,6
M2P,Ontario,2,0
M2R,Ontario,11,2
M3A,Ontario,6,2
K2L,Ontario,7,1
K2M,Ontario,4,2
K2P,Ontario,8,0
K2R,Ontario,0,0
L2P,Ontario,4,0
L2R,Ontario,21,0
L2S,Ontario,10,1
K6J,Ontario,7,0
K6K,Ontario,0,0
K6T,Ontario,0,0
K7H,Ontario,6,1
K7K,Ontario,22,13
K7L,Ontario,12,4
K7M,Ontario,22,12
K7N,Ontario,5,3
K7P,Ontario,6,5
K7R,Ontario,13,4
K7S,Ontario,5,1
K7V,Ontario,6,1
K8A,Ontario,12,1
K8B,Ontario,0,0
K8H,Ontario,5,0
K8N,Ontario,16,1
K8P,Ontario,10,0
L2T,Ontario,7,1
L6X,Ontario,17,0
L6Y,Ontario,36,2
L4E,Ontario,14,2
L4G,Ontario,23,4
L4N,Ontario,51,6
L4S,Ontario,10,1
L6Z,Ontario,12,2
M1S,Ontario,18,2
M1T,Ontario,16,6
L7T,Ontario,8,0
L8E,Ontario,19,3
