fsa,hotspot,cases/100,hosp/100,% 1 dose,population,avg income
K0A,NO,0.97,0.23,3.22%,"103,474","$58,109 "
K0B,NO,0.99,0.61,3.75%,"20,945","$44,490 "
K0C,NO,1.15,0.71,2.96%,"52,154","$45,857 "
K0E,NO,0.44,0.21,1.91%,"38,903","$44,108 "
K0G,NO,0.59,0.22,2.50%,"37,097","$50,652 "
K0H,NO,0.37,0.15,,"44,019","$49,201 "
K0J,NO,0.37,0.08,0.00%,"33,702","$43,746 "
K0K,NO,0.32,0.09,1.80%,"111,372","$44,390 "
K0L,NO,0.41,0.12,0.49%,"71,343","$44,382 "
K0M,NO,0.58,0.35,2.69%,"49,388","$44,647 "
K1B,NO,1.35,0.68,5.54%,"17,110","$48,915 "
K1C,NO,1.26,0.79,3.76%,"37,662","$60,293 "
K1E,NO,0.86,0.54,2.37%,"14,803","$54,838 "
K1G,NO,2.06,1.48,5.87%,"34,075","$48,614 "
K1H,NO,1.43,1.6,5.98%,"15,796","$71,928 "
K1J,NO,1.71,1.05,5.13%,"26,931","$53,482 "
K1K,NO,2.09,1.23,8.62%,"29,499","$44,574 "
K1L,NO,1.52,1.55,5.59%,"17,021","$45,815 "
K1M,NO,1.14,1.49,5.56%,"6,695","$117,277 "
K1N,NO,2.28,1.21,8.81%,"25,063","$55,246 "
K1P,NO,1.05,3.95,,340,"$201,692 "
K1R,NO,1.08,0.61,6.90%,"18,730","$55,116 "
K1S,NO,1.02,0.33,5.58%,"28,660","$86,073 "
K1T,YES,2.54,1,8.38%,"35,432","$48,193 "
K1V,YES,2.24,0.69,6.64%,"54,835","$52,296 "
K1W,NO,2.24,0.65,3.70%,"10,032","$64,354 "
K1X,NO,1.18,0.77,,835,"$55,889 "
K1Y,NO,0.86,0.47,5.85%,"19,774","$75,841 "
K1Z,NO,1.52,0.86,6.42%,"20,983","$55,582 "
K2A,NO,0.75,0.68,2.23%,"16,790","$79,595 "
K2B,NO,1.93,1.01,7.18%,"32,260","$43,425 "
K2C,NO,1.44,1,6.61%,"27,941","$51,663 "
K2E,NO,1.49,0.86,3.46%,"19,034","$51,760 "
K2G,NO,1.35,0.5,5.10%,"49,222","$56,133 "
K2H,NO,1.26,1.32,6.20%,"26,402","$60,858 "
K2J,NO,1.24,0.43,5.35%,"68,963","$57,634 "
K2K,NO,0.77,0.35,4.76%,"24,431","$67,904 "
K2L,NO,0.97,0.96,6.82%,"19,162","$53,290 "
K2M,NO,1.04,0.22,6.58%,"27,028","$62,119 "
K2P,NO,1.19,0.55,8.16%,"17,603","$62,116 "
K2R,NO,0.94,2.18,,"1,188","$103,760 "
K2S,NO,1.07,0.35,5.19%,"32,061","$68,216 "
K2T,NO,0.52,0.23,,"9,447","$67,752 "
K2V,YES,1.66,0.35,,"2,435","$61,354 "
K2W,NO,1,0,4.44%,"8,660","$72,736 "
K4A,NO,1.8,0.76,4.92%,"54,524","$61,132 "
K4B,NO,1.21,0.59,,"4,793","$61,811 "
K4C,NO,1.73,0.64,11.38%,"4,530","$72,581 "
K4K,NO,1.25,0.61,2.26%,"15,368","$52,459 "
K4M,NO,0.93,0.43,4.44%,"11,009","$85,365 "
K4P,NO,1.31,0.83,6.86%,"9,821","$73,275 "
K4R,NO,1.26,0.34,2.95%,"7,435","$59,788 "
K6A,NO,1.3,1.63,3.21%,"12,538","$37,580 "
K6H,NO,1.95,1.43,4.49%,"30,949","$35,363 "
