street,name,city,postal,address,Latitude,Longitude,,date
69 King St E,69 King St. East - Shoppers Drug Mart,"Harrow, ON",N0R 1G0,"69 King St E Harrow, ON N0R 1G0",42.0351939,-82.9161605,42.0351939-82.9161605,2021-03-10
288 Erie St S,288 Erie Street South - Walmart,"Leamington, ON",N8H 3C5,"288 Erie St S Leamington, ON N8H 3C5",42.0365856,-82.5990372,42.0365856-82.5990372,2021-03-10
271 Main St E,Kingsville IDA Pharmacy,"Kingsville, ON",N9Y 1A7,"271 Main St E Kingsville, ON N9Y 1A7",42.0374614,-82.7268746,42.0374614-82.7268746,2021-03-29
370 Main St E,370 Main St. East - Shoppers Drug Mart,"Kingsville, ON",N9Y 0C1,"370 Main St E Kingsville, ON N9Y 0C1",42.0380544,-82.7227949,42.0380544-82.7227949,2021-03-10
269 Erie St S,269 Erie St. South - Shoppers Drug Mart,"Leamington, ON",N8H 3C4,"269 Erie St S Leamington, ON N8H 3C4",42.0380845,-82.6019932,42.0380845-82.6019932,2021-03-10
250 Erie St S,Central Drug Mart (Leamington),"Leamington, ON",N8H 3C2,"250 Erie St S Leamington, ON N8H 3C2",42.0393337,-82.5986993,42.0393337-82.5986993,2021-03-10
300 Main St S,300 Main St. South - Loblaw,"Kingsville, ON",N9Y 3S9,"300 Main St S Kingsville, ON N9Y 3S9",42.039571,-82.7262084,42.039571-82.7262084,2021-03-10
201 Talbot St E,201 Talbot St. East - Loblaw,"Leamington, ON",N8H 3X5,"201 Talbot St E Leamington, ON N8H 3X5",42.0587347,-82.5870427,42.0587347-82.5870427,2021-03-10
400 Sandwich St S,400 Sandwich Street - Walmart,"Amherstburg, ON",N9V 3L4,"400 Sandwich St S Amherstburg, ON N9V 3L4",42.0967117,-83.1092682,42.0967117-83.1092682,2021-03-10
199 Sandwich St S,199 Sandwich St. South - Shoppers Drug Mart,"Amherstburg, ON",N9V 1Z9,"199 Sandwich St S Amherstburg, ON N9V 1Z9",42.1040081,-83.1089507,42.1040081-83.1089507,2021-03-10
71 Sandwich St S,71 Sandwich Street S. - Rexall,"Amherstburg, ON",N9V 1Z5,"71 Sandwich St S Amherstburg, ON N9V 1Z5",42.1086649,-83.1097491,42.1086649-83.1097491,2021-03-10
186 Talbot St S,Brady's Drug Store,"Essex, ON",N8M 1B6,"186 Talbot St S Essex, ON N8M 1B6",42.1683978,-82.8144494,42.1683978-82.8144494,2021-03-10
5 Talbot St S,5 Talbot St. South - Shoppers Drug Mart,"Essex, ON",N8M 1A6,"5 Talbot St S Essex, ON N8M 1A6",42.1739582,-82.8194412,42.1739582-82.8194412,2021-03-10
2125 Front Rd,2125 Front Rd. - Shoppers Drug Mart,"LaSalle, ON",N9J 2C1,"2125 Front Rd LaSalle, ON N9J 2C1",42.2279853,-83.1014726,42.2279853-83.1014726,2021-03-10
6020 Malden Rd,6020 Malden Rd. - Shoppers Drug Mart,"LaSalle, ON",N9H 1S8,"6020 Malden Rd LaSalle, ON N9H 1S8",42.2435153,-83.0601321,42.2435153-83.0601321,2021-03-10
1765 Sprucewood Unit 250,Rob's Whole Health Pharmacy,"LaSalle, ON",N9J 1X7,"1765 Sprucewood Unit 250 LaSalle, ON N9J 1X7",42.2464876,-83.0623683,42.2464876-83.0623683,2021-03-10
5890 Malden Rd,5890 Malden Road - Loblaw,"LaSalle, ON",N9H 1S4,"5890 Malden Rd LaSalle, ON N9H 1S4",42.2470949,-83.0584544,42.2470949-83.0584544,2021-03-10
5881 Malden Rd,5881 Malden Road - Rexall,"LaSalle, ON",N9H 1S5,"5881 Malden Rd LaSalle, ON N9H 1S5",42.2473086,-83.0613484,42.2473086-83.0613484,2021-03-10
3950 Dougall Ave Unit 2,3950 Dougall Ave. - Shoppers Drug Mart,"Windsor, ON",N9G 1X2,"3950 Dougall Ave Unit 2 Windsor, ON N9G 1X2",42.2543888,-83.0006333,42.2543888-83.0006333,2021-03-10
4411 Walker Rd,4411 Walker Road - Costco,"Windsor, ON",N9A 6J3,"4411 Walker Rd Windsor, ON N9A 6J3",42.2550804,-82.9656139,42.2550804-82.9656139,2021-03-10
4371 Walker Rd,4371 Walker Rd. - Loblaw,"Windsor, ON",N8W 3T6,"4371 Walker Rd Windsor, ON N8W 3T6",42.2566152,-82.9681339,42.2566152-82.9681339,2021-03-10
3840 Howard Ave,3840 Howard Avenue - Rexall,"Windsor, ON",N9E 3N9,"3840 Howard Ave Windsor, ON N9E 3N9",42.2591138,-82.9949896,42.2591138-82.9949896,2021-03-10
1421 Grand Marais Rd W Unit 100,1421 Grand Marais Rd. West - Shoppers Drug Mart,"Windsor, ON",N9E 4V1,"1421 Grand Marais Rd W Unit 100 Windsor, ON N9E 4V1",42.2665457,-83.0277459,42.2665457-83.0277459,2021-03-10
3120 Dougall Rd,3120 Dougall Road - Walmart,"Windsor, ON",N9E 1S7,"3120 Dougall Rd Windsor, ON N9E 1S7",42.2712258,-83.0114629,42.2712258-83.0114629,2021-03-10
3100 Howard Ave,3100 Howard Ave. - Shoppers Drug Mart,"Windsor, ON",N8X 3Y8,"3100 Howard Ave Windsor, ON N8X 3Y8",42.2756598,-83.0037396,42.2756598-83.0037396,2021-03-10
1760 Huron Church Rd,1760 Huron Church Road - Shoppers Drug Mart,"Windsor, ON",N9C 2L4,"1760 Huron Church Rd Windsor, ON N9C 2L4",42.2843646,-83.0554765,42.2843646-83.0554765,2021-03-10
1550 Huron Church Rd,Westside Pharmacy Pharmasave,"Windsor, ON",N9C 3Z3,"1550 Huron Church Rd Windsor, ON N9C 3Z3",42.2884792,-83.0572164,42.2884792-83.0572164,2021-03-29
2430 Dougall Ave,2430 Dougall Avenue - Loblaw,"Windsor, ON",N8X 1T2,"2430 Dougall Ave Windsor, ON N8X 1T2",42.2890479,-83.0222068,42.2890479-83.0222068,2021-03-10
2670 Tecumseh Rd W,2670 Tecumseh Road West - Shoppers Drug Mart,"Windsor, ON",N9B 3P9,"2670 Tecumseh Rd W Windsor, ON N9B 3P9",42.2918021,-83.0587061,42.2918021-83.0587061,2021-03-10
2462 Howard Ave Suit 108 Windsor ON,Ziter Pharmacy,"Windsor, ON",N8X 3V6,"2462 Howard Ave Suit 108 Windsor ON Windsor, ON N8X 3V6",42.2923673,-83.0125541,42.2923673-83.0125541,2021-03-10
330 Notre Dame St Belle,Shoppers Drug Mart,"River, ON",N0R 1A0,"330 Notre Dame St Belle River, ON N0R 1A0",42.2924181,-82.6990493,42.2924181-82.6990493,2021-03-29
330 Notre Dame St Po Box 418 Belle,330 Notre Dame St. - Shoppers Drug Mart,"River, ON",N0R 1A0,"330 Notre Dame St Po Box 418 Belle River, ON N0R 1A0",42.292462,-82.699121,42.292462-82.699121,2021-03-10
190 Chisholm St Belle,Bradys Drug Store Belle River,"River, ON",N0R 1A0,"190 Chisholm St Belle River, ON N0R 1A0",42.2936952,-82.7088738,42.2936952-82.7088738,2021-03-11
190 chisholm st Belle N0R 1a0,Bradys Drug Store Belle River,"River, ON",N0R 1A0,"190 chisholm st Belle N0R 1a0 River, ON N0R 1A0",42.2936955,-82.7088899,42.2936955-82.7088899,2021-03-10
500 Tecumseh Rd E,500 Tecumseh Road East - Shoppers Drug Mart,"Windsor, ON",N8X 2S2,"500 Tecumseh Rd E Windsor, ON N8X 2S2",42.2987116,-83.0160796,42.2987116-83.0160796,2021-03-10
1329 Windsor Ave,Windsor Avenue Pharmacy,"Windsor, ON",N8X 3L8,"1329 Windsor Ave Windsor, ON N8X 3L8",42.3042997,-83.0273263,42.3042997-83.0273263,2021-03-10
1215 Ouellette Ave,1215 Ouellette Avenue - Rexall,"Windsor, ON",N8X 1J3,"1215 Ouellette Ave Windsor, ON N8X 1J3",42.3048973,-83.0314803,42.3048973-83.0314803,2021-03-10
7034 Tecumseh Rd Stoney,Healthpoint Pharmacy and Clinic,"Point, ON",N0R 1N0,"7034 Tecumseh Rd Stoney Point, ON N0R 1N0",42.3049209,-82.5476026,42.3049209-82.5476026,2021-03-10
19 Amy Croft Dr,19 Amy Croft Drive - Sobeys,"Lakeshore, ON",N9K 1C7,"19 Amy Croft Dr Lakeshore, ON N9K 1C7",42.3064882,-82.8675957,42.3064882-82.8675957,2021-03-10
1675 Wyandotte St W,1675 Wyandotte St. West - Shoppers Drug Mart,"Windsor, ON",N9B 1H8,"1675 Wyandotte St W Windsor, ON N9B 1H8",42.3071046,-83.0555311,42.3071046-83.0555311,2021-03-10
5115 Tecumseh Rd E,Westminster Pharmacy,"Windsor, ON",N8T 1C2,"5115 Tecumseh Rd E Windsor, ON N8T 1C2",42.3077861,-82.9634718,42.3077861-82.9634718,2021-03-10
5415 Tecumseh Rd E Unit 501,Central Drug Mart,"Windsor, ON",N8T 1C5,"5415 Tecumseh Rd E Unit 501 Windsor, ON N8T 1C5",42.3083012,-82.9589626,42.3083012-82.9589626,2021-03-10
5050 Tecumseh Rd E,5050 Tecumseh Rd. East - Shoppers Drug Mart,"Windsor, ON",N8T 1C1,"5050 Tecumseh Rd E Windsor, ON N8T 1C1",42.3094775,-82.9654459,42.3094775-82.9654459,2021-03-10
500 Manning Rd RR #1 Unit 1,500 Manning Rd. - Shoppers Drug Mart,"Tecumseh, ON",N8N 5H3,"500 Manning Rd RR #1 Unit 1 Tecumseh, ON N8N 5H3",42.311538,-82.868439,42.311538-82.868439,2021-03-10
500 Manning Rd Unit 1,Shoppers Drug Mart,"Tecumseh, ON",N8N 5H3,"500 Manning Rd Unit 1 Tecumseh, ON N8N 5H3",42.3115441,-82.8684313,42.3115441-82.8684313,2021-03-29
7201 Tecumseh Rd E,7201 Tecumseh Rd. East - Loblaw,"Windsor, ON",N8T 3K4,"7201 Tecumseh Rd E Windsor, ON N8T 3K4",42.3118054,-82.9385598,42.3118054-82.9385598,2021-03-10
2109 Ottawa St,2109 Ottawa St. - Shoppers Drug Mart,"Windsor, ON",N8Y 1R8,"2109 Ottawa St Windsor, ON N8Y 1R8",42.3127014,-83.003068,42.3127014-83.003068,2021-03-10
11500 Tecumseh Rd E,11500 Tecumseh Road East - Shoppers Drug Mart,"Windsor, ON",N8N 1L7,"11500 Tecumseh Rd E Windsor, ON N8N 1L7",42.313369,-82.9005054,42.313369-82.9005054,2021-03-10
1275 Walker Rd,Novacare Pharmacy,"Windsor, ON",N8Y 4X9,"1275 Walker Rd Windsor, ON N8Y 4X9",42.3138143,-83.0024803,42.3138143-83.0024803,2021-03-10
600 Ouellette Ave,600 Ouellette Ave. - Shoppers Drug Mart,"Windsor, ON",N9A 6Z3,"600 Ouellette Ave Windsor, ON N9A 6Z3",42.3140327,-83.0362215,42.3140327-83.0362215,2021-03-10
