X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-75.75005295,45.33129514,1,127907363,8692,Pharmacy,RP,Woodroffe Pharmacy, , , ,1637 Woodroffe Avenue, , ,Ottawa,K2G1W2, ,2.02E+13
-80.24740391,43.14009075,2,127907364,8696,Pharmacy,RP,Shoppers Drug Mart #1140, , , ,10 Stanley Street,Unit 6, ,Brantford,N3S7N4, ,2.02E+13
-82.54760256,42.3049209,3,127907365,8697,Pharmacy,RP,Healthpoint Pharmacy, , , ,7034 Tecumseh Road, , ,Lakeshore,N0R1N0, ,2.02E+13
-79.33806249,43.85327422,4,127907366,8698,Pharmacy,RP,Markham Centre Pharmacy, , , ,3603 Highway 7 East,Unit 101, ,Markham,L3R8W3, ,2.02E+13
-79.69870479,43.72215158,5,127907367,8701,Pharmacy,RP,Southgate Pharmacy, , , ,700 Balmoral Drive,Unit 11C, ,Brampton,L6T1X2, ,2.02E+13
-79.04969683,43.0591542,6,127907368,8702,Pharmacy,RP,Niagara Pharmacy, , , ,3700 Main Street, , ,Niagara Falls,L2G6A8, ,2.02E+13
-79.23382905,43.75841701,7,127907369,8703,Pharmacy,RP,Cedarbrae Pharmacy, , , ,3340 Lawrence Avenue East,Unit 5, ,Toronto,M1H1A7, ,2.02E+13
-79.4102078,43.78118971,9,127907371,8705,Pharmacy,RP,Finch Medical Pharmacy, , , ,78 Finch Avenue East, , ,Toronto,M2N4R3, ,2.02E+13
-79.71732191,43.86267101,10,127907372,8706,Pharmacy,RP,Dayspring Pharmacy, , , ,12788 Highway 50, , ,Caledon,L7E4G1, ,2.02E+13
-79.65275427,43.60819887,11,127907373,8707,Pharmacy,RP,Shoppers Drug Mart #1100, , , ,5035 Hurontario Street, , ,Mississauga,L4Z3X7, ,2.02E+13
-79.753156,43.69195998,12,127907374,8708,Pharmacy,RP,Queen Lynch Pharmacy, , , ,157 Queen Street East, , ,Brampton,L6W3X4, ,2.02E+13
