name,street,city,postal,date,link
400 Sandwich Street - Walmart,400 Sandwich Street South,"Amherstburg, ON",N9V 3L4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
71 Sandwich Street S. - Rexall,71 Sandwich Street S.,"Amherstburg, ON",N9V 1Z5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
199 Sandwich St. South - Shoppers Drug Mart,199 Sandwich St. South,"Amherstburg, ON",N9V 1Z9,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Loyalist Pharmacy - Pharmasave,200 Speers Boulevard,"Amherstview, ON",K7N 1Y7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
15 Sherwood Ave. - Shoppers Drug Mart,15 Sherwood Ave.,"Amherstview, ON",K7N 1N1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Bath Family Pharmacy ,"220 Main Street ,Unit 1","Bath, ON",K0H 1G0,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
330 Notre Dame St. - Shoppers Drug Mart,330 Notre Dame St. Po Box 418 Belle,"River , ON",N0R 1A0,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Bradys Drug Store Belle River,190 chisholm st  Belle  N0R 1a0,"River , ON",N0R 1A0,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1601 Bayview Avenue - Shoppers Drug Mart,1601 Bayview Ave East,"York, ON",M4G 3B5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
I CARE Pharmacy Services,"2 Thorncliffe Park Drive, Unit 26-27 East","York, ON",M4H 1H2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Brady's Drug Store,186 Talbot Street South,"Essex, ON",N8M 1B6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5 Talbot St. South - Shoppers Drug Mart,5 Talbot St. South,"Essex, ON",N8M 1A6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
123 Rexdale Boulevard - Shoppers Drug Mart,123 Rexdale Boulevard,"Etobicoke, ON",M9W 1P1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Glen Cade Pharmacy,290 The West Mall,"Etobicoke, ON",M9C 1C6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2206 Lake Shore Boulevard. - Shoppers Drug Mart,2206 Lake Shore Boulevard West,"Etobicoke, ON",M8V 1A4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
125 The Queensway - Shoppers Drug Mart,125 The Queensway,"Etobicoke, ON",M8Y 1H6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3010 Bloor St. West - Shoppers Drug Mart,3010 Bloor St. West,"Etobicoke, ON",M8X 1C2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
250 The East Mall - Rexall,250 The East Mall,"Etobicoke, ON",M9B 3Y8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
