CFSAUID,PRUID,PRNAME,all_pharmacies,covid_vaccine_pharmacies,covid_pharms
B0S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0W,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1W,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1X,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1Y,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1B,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1C,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1G,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1K,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1L,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1M,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1P,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B1R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
A0A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0B,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0C,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0E,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0G,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0H,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0J,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0K,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0L,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0M,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0N,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0P,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A0R,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1B,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1C,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1E,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1G,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1H,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1K,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1L,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1M,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1N,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1S,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1V,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1W,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1X,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A1Y,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2H,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2N,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A2V,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A5A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
A8A,"10",Newfoundland and Labrador / Terre-Neuve-et-Labrador,"0","0",0.000
B0C,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0K,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0L,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0M,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0P,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B0R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
E2V,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3N,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3V,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3Y,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
E3Z,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000
B2A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2C,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2G,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2V,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2W,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2Z,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3E,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3G,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3J,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2X,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B2Y,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3A,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3B,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3H,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3K,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3L,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3M,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3N,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3P,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3R,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3S,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
B3T,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000
