fsa,province,city
#REF!,NL,ST. JOHN'S 
#REF!,NL,ST. JOHN'S 
#REF!,NL,ST. JOHN'S 
#REF!,NL,ST. JOHN'S 
#REF!,NL,ST. JOHN'S 
#REF!,NL,ST. JOHN'S 
#REF!,NL,TORBAY 
#REF!,NL,PARADISE 
#REF!,NL,PORTUGAL COVE-ST PHILIPS 
#REF!,NL,ST. JOHN'S 
#REF!,NL,GOULDS 
#REF!,NL,GANDER 
#REF!,NL,MANUELS 
#REF!,NL,FOXTRAP 
#REF!,NL,CARBONEAR 
#REF!,NL,GRAND FALLS-WINDSOR 
#REF!,NL,GRAND FALLS-WINDSOR 
#REF!,NL,CORNER BROOK 
#REF!,NL,STEPHENVILLE 
#REF!,NL,LABRADOR CITY 
#REF!,NL,CLARENVILLE 
#REF!,NL,DEER LAKE 
#REF!,NL,ST. JOHN'S 
#REF!,NL,ST. JOHN'S 
#REF!,NL,CLARENVILLE 
#REF!,NL,CLARENVILLE 
#REF!,NL,GANDER 
#REF!,NL,GRAND FALLS 
#REF!,NL,GRAND FALLS 
#REF!,NL,DEER LAKE 
#REF!,NL,CORNER BROOK 
#REF!,NL,PORT-AUX-BASQUES 
#REF!,NL,STEPHENVILLE 
#REF!,NL,H. VAL-GOOSE BAY 
#REF!,QC,MONTREAL 
#REF!,NL,STEPHENVILLE 
#REF!,NS,GLACE BAY 
#REF!,NS,PORT MORIEN 
#REF!,NS,LOUISBOURG 
#REF!,NS,RESERVE MINES 
#REF!,NS,DOMINION 
#REF!,NS,NEW WATERFORD 
#REF!,NS,SYDNEY AREA 
#REF!,NS,SYDNEY AREA 
#REF!,NS,SYDNEY 
#REF!,NS,SYDNEY 
#REF!,NS,SYDNEY 
#REF!,NS,SYDNEY 
#REF!,NS,SYDNEY 
#REF!,NS,SYDNEY 
#REF!,NS,CHRISTMAS ISLAND 
#REF!,NS,NORTH SYDNEY 
#REF!,NS,ESKASONI 
#REF!,NS,SYDNEY AREA 
#REF!,NS,SYDNEY AREA 
#REF!,NS,NORTH SYDNEY 
#REF!,NS,IONA 
#REF!,NS,SYDNEY AREA 
#REF!,NS,ANTIGONISH 
#REF!,NS,NEW GLASGOW 
#REF!,NS,SYDNEY AREA 
#REF!,NS,TRURO 
#REF!,NS,WAVERLEY 
#REF!,NS,LANTZ 
#REF!,NS,ENFIELD 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,PORTERS LAKE 
#REF!,NS,DARTMOUTH 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,HALIFAX 
#REF!,NS,LAKESIDE 
#REF!,NS,HALIFAX 
#REF!,NS,TANTALLON 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,DARTMOUTH 
#REF!,NS,AMHERST 
#REF!,NS,KENTVILLE 
#REF!,NS,WOLFVILLE 
#REF!,NS,COLDBROOK 
#REF!,NS,BRIDGEWATER 
#REF!,NS,YARMOUTH 
#REF!,NS,TRURO 
#REF!,NS,PORT HAWKESBURY 
#REF!,NS,SYDNEY 
#REF!,NS,PORT HAWKESBURY 
#REF!,NS,ANTIGONISH 
#REF!,NS,HALIFAX 
#REF!,NS,NEW GLASGOW 
#REF!,NS,AMHERST 
#REF!,NS,TRURO 
#REF!,NS,HALIFAX 
#REF!,NS,KENTVILLE 
#REF!,NS,BRIDGEWATER 
#REF!,NS,MIDDLETON 
#REF!,NS,LIVERPOOL 
#REF!,NS,DIGBY 
#REF!,NS,YARMOUTH 
#REF!,PE,CHARLOTTETOWN 
#REF!,PE,CHARLOTTETOWN 
#REF!,PE,CHARLOTTETOWN 
#REF!,PE,CHARLOTTETOWN 
#REF!,PE,SUMMERSIDE 
#REF!,PE,CHARLOTTETOWN 
#REF!,PE,SUMMERSIDE 
#REF!,NB,MONCTON 
#REF!,NB,MONCTON 
#REF!,NB,MONCTON 
#REF!,NB,MONCTON 
#REF!,NB,MONCTON 
#REF!,NB,MONCTON 
#REF!,NB,MONCTON 
#REF!,NB,MIRAMICHI 
#REF!,NB,MIRAMICHI 
#REF!,NB,CARAQUET 
#REF!,NB,TRACADIE-SHEILA 
#REF!,NB,BATHURST 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,SAINT JOHN 
#REF!,NB,OROMOCTO 
#REF!,NB,FREDERICTON 
#REF!,NB,FREDERICTON 
#REF!,NB,FREDERICTON 
#REF!,NB,FREDERICTON 
#REF!,NB,FREDERICTON 
#REF!,NB,ST STEPHEN 
#REF!,NB,CAMPBELLTON 
#REF!,NB,EDMUNDSTON 
#REF!,NB,GRAND FALLS/GRAND-SAULT 
