,name,street,city,postal,X,Y,province,date,link
0,Abby Pharmacy,#100 - 2845 Cruickshank Street,Abbotsford,V2T 6X1,49.0539654,-122.3246327,British Columbia,2021-04-11T16:14:05.885Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
1,Beyond Pharmacy 2,#150 - 1575 McCallum Road,Abbotsford,V2S 0K2,49.030864,-122.2932596,British Columbia,2021-04-11T16:14:05.889Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
2,Blueridge Pharmacy,#101 - 30461 Blueridge Drive,Abbotsford,V2T 0B1,49.0658284,-122.3795669,British Columbia,2021-04-11T16:14:05.890Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
3,Clearbrook Pharmacy,Suite 1 - 2629 Cedar Park Place,Abbotsford,V2T 3S4,49.0501471,-122.3356645,British Columbia,2021-04-11T16:14:05.890Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
4,Costco Pharmacy #163,1127 Sumas Way,Abbotsford,V2S 8H2,49.0221477,-122.2669654,British Columbia,2021-04-11T16:14:05.890Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
5,Garden Park Pharmacy No.2,103 - 32625 South Fraser Way,Abbotsford,V2T 1X8,49.0521017,-122.3204674,British Columbia,2021-04-11T16:14:05.890Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
6,Gladwin Pharmacy,#104 2955 Gladwin Road,Abbotsford,V2T 5T4,49.0556943,-122.3161622,British Columbia,2021-04-11T16:14:05.891Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
7,Hillcrest Pharmacy,#100 - 32156 Hillcrest Avenue,Abbotsford,V2T 1S5,49.0477969,-122.3328301,British Columbia,2021-04-11T16:14:05.891Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
8,Loblaw Pharmacy #1558,2855 Gladwin Road,Abbotsford,V2T 6Y4,49.0545139,-122.3150999,British Columbia,2021-04-11T16:14:05.891Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
9,London Drugs #16-Clearbrook,#26-32700 South Fraser Way,Abbotsford,V2T 4M5,49.0504422,-122.3187465,British Columbia,2021-04-11T16:14:05.892Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
10,McCallum Pharmacy,2481B McCallum Road,Abbotsford,V2S 3P8,49.04723,-122.293929,British Columbia,2021-04-11T16:14:05.892Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
11,Medical Tower Drugs Ltd.,Suite 6 - 2151 McCallum Road,Abbotsford,V2S 3N8,49.0410821,-122.2943736,British Columbia,2021-04-11T16:14:05.893Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
12,Mt. Lehman Pharmacy***,110 - 30495 Cardinal Avenue,Abbotsford,V2T 0A5,49.0608566,-122.3788581,British Columbia,2021-04-11T16:14:05.893Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
13,Newgen Pharmachoice,#100 - 1945 McCallum Road,Abbotsford,V2S 3N2,49.0377776,-122.2937806,British Columbia,2021-04-11T16:14:05.893Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
14,Otter Co-Op Pharmacy (Mt. Lehman),3270 Mt. Lehman Road,Abbotsford,V4X 2M9,49.0622151,-122.3802512,British Columbia,2021-04-11T16:14:05.893Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
15,Otter Co-Op Pharmacy (Parallel),#100 - 1888 North Parallel Road,Abbotsford,V3G 2C6,49.0364466,-122.2299961,British Columbia,2021-04-11T16:14:05.894Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
16,Pharmacity Drugstore #2,102 - 2752 Allwood Street,Abbotsford,V2T 3R7,49.0523139,-122.3193715,British Columbia,2021-04-11T16:14:05.894Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
17,Pharmacy #24,#108 - 2777 Gladwin Rd,Abbotsford,V2T 4V1,49.0517824,-122.3154611,British Columbia,2021-04-11T16:14:05.894Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
18,Pharmasave Health Centre #086,#520 - 3033 Immel Street,Abbotsford,V2S 6S2,49.0569594,-122.2732303,British Columbia,2021-04-11T16:14:05.894Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
19,Pharmasave Health Centre #1011,#101-2359 Clearbrook Road,Abbotsford,V2T 2X6,49.044939,-122.3372962,British Columbia,2021-04-11T16:14:05.895Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
20,Plaza Pharmacy,#174 - 2655 Clearbrook Road,Abbotsford,V2T 2Y6,49.0505058,-122.3385208,British Columbia,2021-04-11T16:14:05.895Z,https://immunizebc.ca/initial-covid-19-vaccines-pharmacies
