name,street,city,province,postal,Public Health Unit,X,Y,date
Ajax Pharmachoice,"901 Harwood Avenue North, Unit 101",Ajax,Ontario,L1Z 0T4,Durham Region Health Department,43.8783587,-79.0256895,2021-04-20
Alcona Pharmacy,"1070 Innisfil Beach Road, Unit 14",Innisfil,Ontario,L9S 4T9,Simcoe Muskoka District Health Unit,44.314201,-79.553889,2021-04-21
Allcures Pharmacy,"31 St. Dennis Drive, Unit 1",Toronto,Ontario,M3C 1G7,,43.7183786,-79.3300652,2021-04-22
Alpha Woodbridge Pharmacy,5731 Highway 7,Woodbridge,Ontario,L4L 4Y9,York Region Public Health Services,43.7749632,-79.6125553,2021-04-23
Alphamed Pharmacy,460 Albert Street,Waterloo,Ontario,N2L 6J8,,43.4857768,-80.5403074,2021-04-24
Amherstview Drugs,4499 Bath Road,Kingston,Ontario,K7N 1A6,,44.2191619,-76.6434574,2021-04-25
Angus Borden Guardian Pharmacy,"6 River Drive, Unit 1",Angus,Ontario,L0M 1B2,Simcoe Muskoka District Health Unit,44.3219436,-79.8868634,2021-04-26
Apothe Sos Pharmacy,"314 Central Park Drive, Unit 8",Ottawa,Ontario,K2C 0R2,Ottawa Public Health,45.3682958,-75.7333981,2021-04-27
Apple-Hills Medical Pharmacy,1221 Bloor Street East,Mississauga,Ontario,L4Y 2N8,Peel Public Health,43.6132975,-79.5984867,2021-04-28
Arcade And Jory Guardian Pharmacy,286 King Street,Midland,Ontario,L4R 3M6,Simcoe Muskoka District Health Unit,44.749286,-79.885397,2021-04-29
Aria Pharmacy,11 Newton Drive,North York,Ontario,M2M 2M6,Toronto Public Health,43.7929543,-79.4177874,2021-04-30
Atlas Pharmacy,"1383 16th Avenue, Unit 1A",Richmond Hill,Ontario,L4B 0E2,York Region Public Health Services,43.8612788,-79.3899336,2021-05-01
Aurora IDA Pharmacy,"25 William Graham Drive, Unit B1",Aurora,Ontario,L4G 3G3,York Region Public Health Services,44.0265193,-79.4302004,2021-05-02
Ava Pharmacy,"81 St. Clair Avenue East, Unit 220",Toronto,Ontario,M4T 1M7,Toronto Public Health,43.6884774,-79.3907408,2021-05-03
Axis Health Care Plus Pharmacy,1079 Barton Street East,Hamilton,Ontario,L8L 3E2,,43.2516672,-79.8165342,2021-05-04
Axis Health Care Plus Pharmacy,908 Garth Street,Hamilton,Ontario,L9C 4L2,,43.2333813,-79.9010347,2021-05-05
Baden Village Pharmacy,"18 Snyders Road, Unit 6A",Baden,Ontario,N3A 0A7,"Region of Waterloo, Public Health",43.4042065,-80.6696421,2021-05-06
Bank Street Medical Pharmacy,1935 Bank Street,Ottawa,Ontario,K1V 8A3,Ottawa Public Health,45.3680045,-75.6615191,2021-05-07
Bank Street Pharmacy,2531 Bank Street,Ottawa,Ontario,K1V 8R9,Ottawa Public Health,45.3543072,-75.6436138,2021-05-08
Barriefield Pharmasave,"760 Highway 15, Unit 13",Kingston,Ontario,K7L 0C3,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2529193,-76.4609127,2021-05-09
Bath Family Pharmacy,"220 Main Street, Unit 1",Bath,Ontario,K0H 1G0,"Kingston, Frontenac and Lennox & Addington Health Unit",44.1848324,-76.7674084,2021-05-10
Bathurst Wilson I.D.A. Pharmacy,322 Wilson Avenue,Toronto,Ontario,M3H 1S8,Toronto Public Health,43.7371923,-79.4366764,2021-05-11
Bayview IDA Pharmacy,7355 Bayview Avenue,Thornhill,Ontario,L3T 5Z2,York Region Public Health Services,43.8133323,-79.398554,2021-05-12
Beaches Pharmacy,1967 Queen Street East,Toronto,Ontario,M4L 1H9,Toronto Public Health,43.6695158,-79.3014836,2021-05-13
Belgage Pharmacy,"525 Belmont Avenue West, Unit 211",Kitchener,Ontario,N2M 5E2,"Region of Waterloo, Public Health",43.4477894,-80.5147582,2021-05-14
Bellwood Pharmacy,"900 Oxford Street East, Unit 14B",London,Ontario,N5Y 5A1,Middlesex-London Health Unit,43.003589,-81.2277443,2021-05-15
Belmont Pharmacy,14091 Belmont Road,Belmont,Ontario,N0L 1B0,Southwestern Public Health,42.8826551,-81.0888747,2021-05-16
Beverly Med Pharmacy,"9201 Yonge Street, Unit NW-6",Richmond Hill,Ontario,L4C 1H9,,43.8521717,-79.4324455,2021-05-17
Binbrook Pharmacy,3011 Highway 56,Binbrook,Ontario,L0R 1C0,Hamilton Public Health Services,43.1205529,-79.8042467,2021-05-18
Birchmount Pharmasave,462 Birchmount Road,Scarborough,Ontario,M1K 1N8,,43.7069465,-79.2687238,2021-05-19
Bishop Pharmacy Pharmachoice,"1515 King Street East, Unit 111",Cambridge,Ontario,N3H 3R6,"Region of Waterloo, Public Health",43.390191,-80.3459921,2021-05-20
Blossom Park Pharmacy,2928 Bank Street,Ottawa,Ontario,K1T 1N6,Ottawa Public Health,45.3476641,-75.6259672,2021-05-21
Boggio & Edwards Ridgeway IDA,307 Ridge Road North,Ridgeway,Ontario,L0S 1N0,Niagara Region Public Health Department,42.8831805,-79.0522665,2021-05-22
Boggio & Mackinnon Pharmacy,6680 Drummond Road,Niagara Falls,Ontario,L2G 4P1,Niagara Region Public Health Department,43.0781914,-79.09694,2021-05-23
Boggio Fonthill Pharmacy IDA,155 Highway 20 West,Fonthill,Ontario,L0S 1E0,,43.0439591,-79.2963616,2021-05-24
Boggio Pharmacy Ltd,200 Catharine Street,Port Colborne,Ontario,L3K 4K8,Niagara Region Public Health Department,42.885297,-79.2529779,2021-05-25
Bolton Pharmacy & Health Centre,8 Queen Street North,Bolton,Ontario,L7E 1C8,Peel Public Health,43.8796508,-79.7386648,2021-05-26
Bossons Pharmacy,35 Front Street West,Strathroy,Ontario,N7G 1X5,Middlesex-London Health Unit,42.9581982,-81.6254925,2021-05-27
Bowen'S Pharmacy,88 Harwood Avenue South,Ajax,Ontario,L1S 2H6,Durham Region Health Department,43.8503145,-79.0218166,2021-05-28
Brady's Drug Store,186 Talbot Street South,Essex,Ontario,N8M 1B6,Windsor-Essex County Health Unit,42.1683978,-82.8144494,2021-05-29
Bradys Drug Store Belle River,190 Chisholm Street,Belle River,Ontario,N0R 1A0,Windsor-Essex County Health Unit,42.2936952,-82.7088738,2021-05-30
BramCity Pharmasave,14 Lisa Street,Brampton,Ontario,L6T 4W2,Peel Public Health,43.7132335,-79.7270175,2021-05-31
Brameast Pharmacy,"2130 North Park Drive, Unit 43-44",Brampton,Ontario,L6S 0C9,Peel Public Health,43.7496824,-79.7265718,2021-06-01
Brampton Community Pharmacy,"3975 Cottrelle Boulevard, Unit 12",Brampton,Ontario,L6P 2P9,Peel Public Health,43.7838397,-79.6593835,2021-06-02
Bramqueen Pharmacy,"490 Bramalea Road, Unit 3",Brampton,Ontario,L6T 0G1,Peel Public Health,43.7238783,-79.7173326,2021-06-03
Brant Arts Dispensary,672 Brant Street,Burlington,Ontario,L7R 2H3,Halton Region Health Department,43.3308187,-79.8060873,2021-06-04
Brechin Pharmacy,2280 Highway 12,Brechin,Ontario,L0K 1B0,,44.5465674,-79.1766705,2021-06-05
Breslau Pharmacy & Wellness Centre,11 Woolwich Street North,Breslau,Ontario,N0B 1M0,"Region of Waterloo, Public Health",43.482577,-80.4166341,2021-06-06
Bridle Path Pharmacy,"4000 Bridle Path Drive, Unit 6",Gloucester,Ontario,K1T 2C4,,45.3483871,-75.6457041,2021-06-07
Bright's Grove Family Pharmacy,2670 New Lakeshore Road,Brights Grove,Ontario,N0N 1C0,Lambton Health Unit,43.02789,-82.255101,2021-06-08
Brighton Remedy's Rx,24 Main Street,Brighton,Ontario,K0K 2H0,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.0422599,-77.7368828,2021-06-09
Brussels Pharmacy,453 Turnberry Street,Brussels,Ontario,N0G 1H0,Huron Perth Health Unit,43.7435931,-81.2501238,2021-06-10
Cahoon's Pharmacy,95 Deep River Road,Deep River,Ontario,K0J 1P0,Renfrew County and District Health Unit,46.0999591,-77.4870587,2021-06-11
Campbellville Pharmacy,35 Crawford Crescent,Campbellville,Ontario,L0P 1B0,Hamilton Public Health Services,43.4880814,-79.9847031,2021-06-12
Canada Chemists,1975 Avenue Road,Toronto,Ontario,M5M 4A3,,43.734785,-79.419593,2021-06-13
Canadian Compounding Pharmacy,2920 Bloor Street West,Toronto,Ontario,M8X 1B6,Toronto Public Health,43.648507,-79.5072291,2021-06-14
Caravaggio IDA Drugs,128 Main Street East,Shelburne,Ontario,L9V 3K5,Wellington-Dufferin-Guelph Health Unit,44.0787294,-80.203811,2021-06-15
Care and Health Pharmacy,2928 Danforth Avenue,Toronto,Ontario,M4C 1M1,Toronto Public Health,43.6901834,-79.2934675,2021-06-16
Care Drugs,"24 Orchard Heights Boulevard, Unit 103",Aurora,Ontario,L4G 3W3,York Region Public Health Services,44.0093493,-79.4732479,2021-06-17
Carl's IDA Pharmacy,1207 Hurontario Street,Mississauga,Ontario,L5G 3H2,Peel Public Health,43.5593338,-79.5867252,2021-06-18
Carleton Place IDA Drug Mart,47 Lansdowne Avenue,Carleton Place,Ontario,K7C 3S9,"Leeds,Grenville, and Lanark District Health Unit",45.1355215,-76.1399079,2021-06-19
Carling IDA Pharmacy,1320 Carling Avenue,Ottawa,Ontario,K1Z 7K8,,45.3853177,-75.735009,2021-06-20
