fsa,Public Health Unit,Start date of week,End date of week,Overall - % positivity,"Overall - number tested per 100,000 population",NON-LTC - % positivity,"NON-LTC - number tested per 100,000 population"
K0A,SHARED FSA,21-Mar-21,27-Mar-21,0.02,2090.00,0.02,2041.00
K0B,2258 Eastern Ontario Health Unit,21-Mar-21,27-Mar-21,0.04,2207.00,0.04,2203.00
K0C,SHARED FSA,21-Mar-21,27-Mar-21,0.05,2708.00,0.05,2539.00
K0E,SHARED FSA,21-Mar-21,27-Mar-21,0.02,2019.00,0.02,2022.00
K0G,SHARED FSA,21-Mar-21,27-Mar-21,0.03,3110.00,0.03,3125.00
K0H,SHARED FSA,21-Mar-21,27-Mar-21,0.01,2595.00,0.01,2596.00
K0J,SHARED FSA,21-Mar-21,27-Mar-21,0.00,2300.00,0.00,2300.00
K0K,SHARED FSA,21-Mar-21,27-Mar-21,0.01,1970.00,0.01,1965.00
K0L,SHARED FSA,21-Mar-21,27-Mar-21,0.00,1606.00,0.00,1599.00
K0M,SHARED FSA,21-Mar-21,27-Mar-21,0.01,2085.00,0.01,1998.00
K1B,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.06,1926.00,0.06,1926.00
K1C,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.02,1959.00,0.02,1935.00
K1E,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1740.00,0.03,1740.00
K1G,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.05,1890.00,0.06,1648.00
K1H,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,2117.00,0.04,2117.00
K1J,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1888.00,0.03,1866.00
K1K,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.04,1914.00,0.04,1917.00
K1L,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.03,1728.00,0.03,1725.00
K1M,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.06,1438.00,0.06,1438.00
K1N,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.05,1475.00,0.05,1446.00
K1P,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.00,1558.00,0.00,1558.00
K1R,2251 Ottawa Public Health,21-Mar-21,27-Mar-21,0.06,1393.00,0.06,1393.00
