name,street,city,postal,province,full_address,X,Y,date,link
400 Sandwich Street - Walmart,400 Sandwich Street South,"Amherstburg, ON",N9V 3L4,Ontario,"400 Sandwich Street South Amherstburg, ON N9V 3L4",42.0967117,-83.1092682,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
71 Sandwich Street S. - Rexall,71 Sandwich Street S.,"Amherstburg, ON",N9V 1Z5,Ontario,"71 Sandwich Street S. Amherstburg, ON N9V 1Z5",42.1086649,-83.1097491,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
199 Sandwich St. South - Shoppers Drug Mart,199 Sandwich St. South,"Amherstburg, ON",N9V 1Z9,Ontario,"199 Sandwich St. South Amherstburg, ON N9V 1Z9",42.1040081,-83.1089507,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Loyalist Pharmacy - Pharmasave,200 Speers Boulevard,"Amherstview, ON",K7N 1Y7,Ontario,"200 Speers Boulevard Amherstview, ON K7N 1Y7",44.2240643,-76.6631081,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
15 Sherwood Ave. - Shoppers Drug Mart,15 Sherwood Ave.,"Amherstview, ON",K7N 1N1,Ontario,"15 Sherwood Ave. Amherstview, ON K7N 1N1",44.2195772,-76.6423544,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Bath Family Pharmacy,"220 Main Street ,Unit 1","Bath, ON",K0H 1G0,Ontario,"220 Main Street ,Unit 1 Bath, ON K0H 1G0",44.1848457,-76.7674054,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
330 Notre Dame St. - Shoppers Drug Mart,330 Notre Dame St. Po Box 418 Belle,"River , ON",N0R 1A0,Ontario,"330 Notre Dame St. Po Box 418 Belle River , ON N0R 1A0",42.292462,-82.699121,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Bradys Drug Store Belle River,190 chisholm st Belle N0R 1a0,"River , ON",N0R 1A0,Ontario,"190 chisholm st Belle N0R 1a0 River , ON N0R 1A0",42.2936955,-82.7088899,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1601 Bayview Avenue - Shoppers Drug Mart,1601 Bayview Ave East,"York, ON",M4G 3B5,Ontario,"1601 Bayview Ave East York, ON M4G 3B5",43.7063311,-79.375022,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
I CARE Pharmacy Services,"2 Thorncliffe Park Drive, Unit 26-27 East","York, ON",M4H 1H2,Ontario,"2 Thorncliffe Park Drive, Unit 26-27 East York, ON M4H 1H2",43.7065383,-79.351572,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Brady's Drug Store,186 Talbot Street South,"Essex, ON",N8M 1B6,Ontario,"186 Talbot Street South Essex, ON N8M 1B6",42.1683978,-82.8144494,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5 Talbot St. South - Shoppers Drug Mart,5 Talbot St. South,"Essex, ON",N8M 1A6,Ontario,"5 Talbot St. South Essex, ON N8M 1A6",42.1739582,-82.8194412,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
123 Rexdale Boulevard - Shoppers Drug Mart,123 Rexdale Boulevard,"Etobicoke, ON",M9W 1P1,Ontario,"123 Rexdale Boulevard Etobicoke, ON M9W 1P1",43.7110841,-79.5654365,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Glen Cade Pharmacy,290 The West Mall,"Etobicoke, ON",M9C 1C6,Ontario,"290 The West Mall Etobicoke, ON M9C 1C6",43.6348382,-79.5627147,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
