name,street,city,province,postal,full address,X,Y,date,link
Alcona Pharmacy,1070 Innisfil Beach Road Unit 14,"Innisfil, ON",Ontario,L9S 4T9,"1070 Innisfil Beach Road Unit 14 Innisfil, ON L9S 4T9",44.314201,-79.553889,2021-04-13T14:53:25.204Z,https://covid-19.ontario.ca/vaccine-locations
Allcures Pharmacy,"31 St. Dennis Drive, Unit 1","Toronto, ON",Ontario,M3C 1G7,"31 St. Dennis Drive, Unit 1 Toronto, ON M3C 1G7",43.7183786,-79.3300652,2021-04-13T14:53:25.379Z,https://covid-19.ontario.ca/vaccine-locations
Alphamed Pharmacy,460 Albert Street,"Waterloo, ON",Ontario,N2L 6J8,"460 Albert Street Waterloo, ON N2L 6J8",43.4857768,-80.5403074,2021-04-13T14:53:25.438Z,https://covid-19.ontario.ca/vaccine-locations
Amherstview Drugs,4499 Bath Road,"Kingston, ON",Ontario,K7N 1A6,"4499 Bath Road Kingston, ON K7N 1A6",44.2191619,-76.6434574,2021-04-13T14:53:25.211Z,https://covid-19.ontario.ca/vaccine-locations
Angus Borden Guardian Pharmacy,6 River Drive Unit 1,"Angus, ON",Ontario,L0M 1B2,"6 River Drive Unit 1 Angus, ON L0M 1B2",44.3219436,-79.8868634,2021-04-13T14:53:25.086Z,https://covid-19.ontario.ca/vaccine-locations
Apothe Sos Pharmacy,314 Central Park Drive Unit 8,"Ottawa, ON",Ontario,K2C 0R2,"314 Central Park Drive Unit 8 Ottawa, ON K2C 0R2",45.3682958,-75.7333981,2021-04-13T14:53:25.314Z,https://covid-19.ontario.ca/vaccine-locations
Apple-Hills Medical Pharmacy,1221 Bloor Street East,"Mississauga, ON",Ontario,L4Y 2N8,"1221 Bloor Street East Mississauga, ON L4Y 2N8",43.6132975,-79.5984867,2021-04-13T14:53:25.263Z,https://covid-19.ontario.ca/vaccine-locations
Arcade And Jory Guardian Pharmacy,286 King Street,"Midland, ON",Ontario,L4R 3M6,"286 King Street Midland, ON L4R 3M6",44.749286,-79.885397,2021-04-13T14:53:25.260Z,https://covid-19.ontario.ca/vaccine-locations
Aria Pharmacy,11 Newton Drive North,"York, ON",Ontario,M2M 2M6,"11 Newton Drive North York, ON M2M 2M6",43.7929543,-79.4177874,2021-04-13T14:53:25.296Z,https://covid-19.ontario.ca/vaccine-locations
Atlas Pharmacy,1383 16th Avenue Unit 1A Richmond,"Hill, ON",Ontario,L4B 0E2,"1383 16th Avenue Unit 1A Richmond Hill, ON L4B 0E2",43.8612788,-79.3899336,2021-04-13T14:53:25.336Z,https://covid-19.ontario.ca/vaccine-locations
Ava Pharmacy,"81 St. Clair Avenue East, Unit 220","Toronto, ON",Ontario,M4T 1M7,"81 St. Clair Avenue East, Unit 220 Toronto, ON M4T 1M7",43.6884774,-79.3907408,2021-04-13T14:53:25.380Z,https://covid-19.ontario.ca/vaccine-locations
Baden Village Pharmacy,18 Snyders Road Unit 6A,"Baden, ON",Ontario,N3A 0A7,"18 Snyders Road Unit 6A Baden, ON N3A 0A7",43.4042319,-80.6696248,2021-04-13T14:53:25.094Z,https://covid-19.ontario.ca/vaccine-locations
Bank Street Medical Pharmacy,1935 Bank St.,"Ottawa, ON",Ontario,K1V 8A3,"1935 Bank St. Ottawa, ON K1V 8A3",45.3680045,-75.6615191,2021-04-13T14:53:25.314Z,https://covid-19.ontario.ca/vaccine-locations
Barriefield Pharmasave,"760 Highway 15, Unit 13","Kingston, ON",Ontario,K7L 0C3,"760 Highway 15, Unit 13 Kingston, ON K7L 0C3",44.2529193,-76.4609127,2021-04-13T14:53:25.212Z,https://covid-19.ontario.ca/vaccine-locations
Bath Family Pharmacy,"220 Main Street, Unit 1","Bath, ON",Ontario,K0H 1G0,"220 Main Street, Unit 1 Bath, ON K0H 1G0",44.1848457,-76.7674054,2021-04-13T14:53:25.104Z,https://covid-19.ontario.ca/vaccine-locations
Bathurst Wilson I.D.A. Pharmacy,322 Wilson Avenue,"Toronto, ON",Ontario,M3H 1S8,"322 Wilson Avenue Toronto, ON M3H 1S8",43.7371923,-79.4366764,2021-04-13T14:53:25.380Z,https://covid-19.ontario.ca/vaccine-locations
Beaches Pharmacy,1967 Queen Street East,"Toronto, ON",Ontario,M4L 1H9,"1967 Queen Street East Toronto, ON M4L 1H9",43.6695158,-79.3014836,2021-04-13T14:53:25.380Z,https://covid-19.ontario.ca/vaccine-locations
Beverly Med Pharmacy,9201 Yonge St. Northwest unit 6 Richmond,"Hill, ON",Ontario,L4C 1H9,"9201 Yonge St. Northwest unit 6 Richmond Hill, ON L4C 1H9",43.8517867,-79.4325904,2021-04-13T14:53:25.337Z,https://covid-19.ontario.ca/vaccine-locations
Binbrook Pharmacy,3011 Highway 56,"Binbrook, ON",Ontario,L0R 1C0,"3011 Highway 56 Binbrook, ON L0R 1C0",43.1205529,-79.8042467,2021-04-13T14:53:25.110Z,https://covid-19.ontario.ca/vaccine-locations
Birchmount Pharmasave,462 Birchmount Road,"Scarborough, ON",Ontario,M1K 1N8,"462 Birchmount Road Scarborough, ON M1K 1N8",43.7069465,-79.2687238,2021-04-13T14:53:25.346Z,https://covid-19.ontario.ca/vaccine-locations
Boggio & Edwards Ridgeway IDA,307 Ridge Road North,"Ridgeway, ON",Ontario,L0S 1N0,"307 Ridge Road North Ridgeway, ON L0S 1N0",42.8831805,-79.0522665,2021-04-13T14:53:25.343Z,https://covid-19.ontario.ca/vaccine-locations
Boggio & Mackinnon Pharmacy,6680 Drummond Road Niagara,"Falls, ON",Ontario,L2G 4P1,"6680 Drummond Road Niagara Falls, ON L2G 4P1",43.0781914,-79.09694,2021-04-13T14:53:25.292Z,https://covid-19.ontario.ca/vaccine-locations
