,name,city,covid_site,date,Latitude,Longitude,postal,fsa,type
0,69 King St. East - Shoppers Drug Mart,Harrow,Yes,2021-03-10,42.0351939,-82.9161605,N0R1G0,N0R,Shoppers Drug Mart
1,288 Erie Street South - Walmart,Leamington,Yes,2021-03-10,42.0365856,-82.5990372,N8H3C5,N8H,Walmart
2,Kingsville IDA Pharmacy,Kingsville,Yes,2021-03-29,42.0374614,-82.7268746,N9Y1A7,N9Y,IDA
3,370 Main St. East - Shoppers Drug Mart,Kingsville,Yes,2021-03-10,42.0380544,-82.7227949,N9Y0C1,N9Y,Shoppers Drug Mart
4,269 Erie St. South�- Shoppers Drug Mart,Leamington,Yes,2021-03-10,42.0380845,-82.6019932,N8H3C4,N8H,Shoppers Drug Mart
5,Central Drug Mart (Leamington),Leamington,Yes,2021-03-10,42.0393337,-82.5986993,N8H3C2,N8H,Other/Independent
6,300 Main St. South - Loblaw,Kingsville,Yes,2021-03-10,42.039571,-82.7262084,N9Y3S9,N9Y,Loblaw
7,201 Talbot St. East - Loblaw,Leamington,Yes,2021-03-10,42.0587347,-82.5870427,N8H3X5,N8H,Loblaw
8,400 Sandwich Street - Walmart,Amherstburg,Yes,2021-03-10,42.0967117,-83.1092682,N9V3L4,N9V,Walmart
9,199 Sandwich St. South - Shoppers Drug Mart,Amherstburg,Yes,2021-03-10,42.1040081,-83.1089507,N9V1Z9,N9V,Shoppers Drug Mart
10,71 Sandwich Street S. - Rexall,Amherstburg,Yes,2021-03-10,42.1086649,-83.1097491,N9V1Z5,N9V,Rexall
11,Brady's Drug Store,Essex,Yes,2021-03-10,42.1683978,-82.8144494,N8M1B6,N8M,Other/Independent
12,5 Talbot St. South - Shoppers Drug Mart,Essex,Yes,2021-03-10,42.1739582,-82.8194412,N8M1A6,N8M,Shoppers Drug Mart
13,2125 Front Rd. - Shoppers Drug Mart,LaSalle,Yes,2021-03-10,42.2279853,-83.1014726,N9J2C1,N9J,Shoppers Drug Mart
14,6020 Malden Rd. - Shoppers Drug Mart,LaSalle,Yes,2021-03-10,42.2435153,-83.0601321,N9H1S8,N9H,Shoppers Drug Mart
15,Rob's Whole Health Pharmacy,LaSalle,Yes,2021-03-10,42.2464876,-83.0623683,N9J1X7,N9J,Other/Independent
16,5890 Malden Road - Loblaw,LaSalle,Yes,2021-03-10,42.2470949,-83.0584544,N9H1S4,N9H,Loblaw
17,5881 Malden Road - Rexall,LaSalle,Yes,2021-03-10,42.2473086,-83.0613484,N9H1S5,N9H,Rexall
18,3950 Dougall Ave. - Shoppers Drug Mart,Windsor,Yes,2021-03-10,42.2543888,-83.0006333,N9G1X2,N9G,Shoppers Drug Mart
