name,street,city,postal,province,date,link
101 PHARMACY ,1107 CENTRE ST NW,CALGARY,,Alberta,2021-04-11T18:09:24.524Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
1230 PHARMACY & TRAVEL CLINIC ,102-1230 91 ST SW,EDMONTON,,Alberta,2021-04-11T18:09:24.530Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ABBEYDALE PHARMACY & TRAVEL CLINIC ,814 68 ST NE,CALGARY,,Alberta,2021-04-11T18:09:24.530Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ABEX PHARMACY ,103-121 TOWN CREST RD,FORT SASKATCHEWAN,,Alberta,2021-04-11T18:09:24.531Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ACCESS PHARMACY ,6255 ANDREWS LOOP SW,EDMONTON,,Alberta,2021-04-11T18:09:24.531Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ADVANCED HEALTH PHARMASAVE #385 ,5112 50 ST,WHITECOURT,,Alberta,2021-04-11T18:09:24.532Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
AIRDRIE DRUG MART ,101-124 1 AVE NE,AIRDRIE,,Alberta,2021-04-11T18:09:24.532Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
AIRDRIE MEDICAL REMEDY'S RX PHARMACY ,10-620 1 AVE NW,AIRDRIE,,Alberta,2021-04-11T18:09:24.533Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ALBERTA AVE MEDX DRUGS ,9004 118 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.533Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ALI'S DRUG MART ,214-11 WESTWIND DR,SPRUCE GROVE,,Alberta,2021-04-11T18:09:24.534Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ALIX DRUGS LTD. ,4904 50 AVE,ALIX,,Alberta,2021-04-11T18:09:24.534Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ALL CARE PHARMACY ,5016 106 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.535Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ALPHA CARE PHARMACY ,411-3508 32 AVE NE,CALGARY,,Alberta,2021-04-11T18:09:24.535Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ALPINE VALUE DRUG MART ,5132 49 ST,ROCKY MOUNTAIN HOUSE,,Alberta,2021-04-11T18:09:24.536Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ANDERSON DRUG BY FRESON BROS DRUMHELLER ,101 6 AVE SE,DRUMHELLER,,Alberta,2021-04-11T18:09:24.536Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ANDERSON DRUG BY FRESON BROS HINTON HILL ,632 CARMICHAEL LANE,HINTON,,Alberta,2021-04-11T18:09:24.536Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ANDERSON DRUG BY FRESON BROS PEACE RIVER ,7900 99 AVE,PEACE RIVER,,Alberta,2021-04-11T18:09:24.536Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ANDERSON'S PHARMACY ,1609 9 AVE S,LETHBRIDGE,,Alberta,2021-04-11T18:09:24.537Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
ANDREW PHARMACY AND HOME HEALTHCARE ,5022 51 St,ANDREW,,Alberta,2021-04-11T18:09:24.537Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
APOLLO CLINICAL PHARMACY ,6570 170 AVE NW,EDMONTON,,Alberta,2021-04-11T18:09:24.537Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
APOLLO DRUG STORE ,800-4305 SOUTH PARK DR,STONY PLAIN,,Alberta,2021-04-11T18:09:24.538Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
APPLE DRUGS ,4825 50 ST,STETTLER,,Alberta,2021-04-11T18:09:24.538Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
APPLE PHARMACY ,229 1 ST SW,AIRDRIE,,Alberta,2021-04-11T18:09:24.538Z,https://www.ab.bluecross.ca/news/covid-19-immunization-program-information.php
