name,street,city,postal,date,link
Rexall,372 Queen St. East,"Acton, ON",L7J 2Y5,2021-04-13T14:53:25.060Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,252 Queen St.,"Acton, ON",L7J 1P6,2021-04-13T14:53:25.067Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,150 Kingston Road East,"Ajax, ON",L1Z 1E5,2021-04-13T14:53:25.068Z,https://covid-19.ontario.ca/vaccine-locations
Food Basics Pharmacy,280 Harwood Ave. South,"Ajax, ON",L1S 2J1,2021-04-13T14:53:25.069Z,https://covid-19.ontario.ca/vaccine-locations
Health-Rite Pharmacy,75 Bayly Street West,"Ajax, ON",L1S 7K7,2021-04-13T14:53:25.070Z,https://covid-19.ontario.ca/vaccine-locations
Loblaw Pharmacy,30 Kingston Road West,"Ajax, ON",L1T 4K8,2021-04-13T14:53:25.071Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,240 Harwood Ave. South,"Ajax, ON",L1S 2H6,2021-04-13T14:53:25.071Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,475 Westney Road North Unit 17,"Ajax, ON",L1T 3H4,2021-04-13T14:53:25.072Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,955 Westney Road South Unit 7,"Ajax, ON",L1S 3K7,2021-04-13T14:53:25.073Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1971 Salem Road North,"Ajax, ON",L1T 0J9,2021-04-13T14:53:25.074Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,15 Westney Road North,"Ajax, ON",L1T 1P4,2021-04-13T14:53:25.074Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,314 Harwood Avenue South,"Ajax, ON",L1S 2J1,2021-04-13T14:53:25.075Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,95 Williamson Drive West,"Ajax, ON",L1T 0K9,2021-04-13T14:53:25.076Z,https://covid-19.ontario.ca/vaccine-locations
Sobeys Pharmacy,260 Kingston Road West,"Ajax, ON",L1T 4E4,2021-04-13T14:53:25.077Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,270 Kingston Road East RR 1,"Ajax, ON",L1Z 1G1,2021-04-13T14:53:25.077Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,149 Young Street,"Alliston, ON",L9R 2A9,2021-04-13T14:53:25.078Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,376 Ottawa St.,"Almonte, ON",K0A 1A0,2021-04-13T14:53:25.079Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,71 Sandwich Street South,"Amherstburg, ON",N9V 1Z5,2021-04-13T14:53:25.079Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,199 Sandwich Street South,"Amherstburg, ON",N9V 1Z9,2021-04-13T14:53:25.080Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,400 Sandwich Street South,"Amherstburg, ON",N9V 3L4,2021-04-13T14:53:25.081Z,https://covid-19.ontario.ca/vaccine-locations
Pharmasave Loyalist Pharmacy,200 Speers Boulevard,"Amherstview, ON",K7N 1Y7,2021-04-13T14:53:25.081Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,15 Sherwood Avenue,"Amherstview, ON",K7N 1N1,2021-04-13T14:53:25.082Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,100 Legend Court,"Ancaster, ON",L9K 1J3,2021-04-13T14:53:25.083Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,47 Wilson Street West,"Ancaster, ON",L9G 1N1,2021-04-13T14:53:25.085Z,https://covid-19.ontario.ca/vaccine-locations
Sobeys Pharmacy,977 Golf Links Road,"Ancaster, ON",L9K 1K1,2021-04-13T14:53:25.086Z,https://covid-19.ontario.ca/vaccine-locations
Angus Borden Guardian Pharmacy,6 River Drive Unit 1,"Angus, ON",L0M 1B2,2021-04-13T14:53:25.086Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,22 Baskin Drive East,"Arnprior, ON",K7S 3G8,2021-04-13T14:53:25.087Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,55 Elgin St. West,"Arnprior, ON",K7S 1N6,2021-04-13T14:53:25.087Z,https://covid-19.ontario.ca/vaccine-locations
Loblaw Pharmacy,15900 Bayview Avenue,"Aurora, ON",L4G 7Y3,2021-04-13T14:53:25.088Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,14729 Yonge Street,"Aurora, ON",L4G 1N1,2021-04-13T14:53:25.089Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,446 Hollandview Trail,"Aurora, ON",L4G 3H1,2021-04-13T14:53:25.089Z,https://covid-19.ontario.ca/vaccine-locations
Sobeys Pharmacy,15500 Bayview Ave.,"Aurora, ON",L4G 7J1,2021-04-13T14:53:25.090Z,https://covid-19.ontario.ca/vaccine-locations
Wal-Mart Pharmacy,135 First Commerce Drive,"Aurora, ON",L4G 0G2,2021-04-13T14:53:25.091Z,https://covid-19.ontario.ca/vaccine-locations
NoFrills Pharmacy,657 John St.,"Aylmer, ON",N5H 3J1,2021-04-13T14:53:25.092Z,https://covid-19.ontario.ca/vaccine-locations
Baden Village Pharmacy,18 Snyders Road Unit 6A,"Baden, ON",N3A 0A7,2021-04-13T14:53:25.094Z,https://covid-19.ontario.ca/vaccine-locations
North Hastings Family Pharmacy Ltd,217 Hastings St. North,"Bancroft, ON",K0L 1C0,2021-04-13T14:53:25.094Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,118 Hastings Street North,"Bancroft, ON",K0L 1C0,2021-04-13T14:53:25.095Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,41 Maple View Drive East,"Barrie, ON",L4N 9A9,2021-04-13T14:53:25.096Z,https://covid-19.ontario.ca/vaccine-locations
Drugstore Pharmacy,620 Yonge Street,"Barrie, ON",L4N 4E5,2021-04-13T14:53:25.097Z,https://covid-19.ontario.ca/vaccine-locations
Loblaw Pharmacy,472 Bayfield Street,"Barrie, ON",L4M 5A2,2021-04-13T14:53:25.098Z,https://covid-19.ontario.ca/vaccine-locations
Purehealth Pharmacy,201 Georgian Drive,"Barrie, ON",L4M 6M2,2021-04-13T14:53:25.098Z,https://covid-19.ontario.ca/vaccine-locations
