CFSAUID,PRUID,PRNAME,ices-covid-data_Public Health Unit,ices-covid-data_Start date of week,ices-covid-data_End date of week,ices-covid-data_Overall - % positivity,"ices-covid-data_Overall - number tested per 100,000 population",ices-covid-data_NON-LTC - % positivity,"ices-covid-data_NON-LTC - number tested per 100,000 population",data-pharmacy-counts_PRUID,data-pharmacy-counts_PRNAME,data-pharmacy-counts_all_pharmacies,data-pharmacy-counts_covid_vaccine_pharmacies,data-pharmacy-counts_covid_pharms,chosen%
B0S,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B0T,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B0V,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B0W,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1S,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1T,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1V,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1W,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1X,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1Y,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1A,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1B,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1C,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
B1E,"12",Nova Scotia / Nouvelle-Écosse,,,,,,,,"12",Nova Scotia / Nouvelle-Écosse,"0","0",0.000,
